18:00:41.677 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:9ef17309
18:00:41.999 [XNIO-1 task-3]  jcibV3OiRQ-O5WjAmcjMZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:41.999 [XNIO-1 task-3]  jcibV3OiRQ-O5WjAmcjMZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.000 [XNIO-1 task-3]  jcibV3OiRQ-O5WjAmcjMZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.001 [XNIO-1 task-3]  jcibV3OiRQ-O5WjAmcjMZQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.009 [XNIO-1 task-3]  jcibV3OiRQ-O5WjAmcjMZQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.010 [XNIO-1 task-4]  g23H_0JiSsK4bHEoKSAgFg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.010 [XNIO-1 task-4]  g23H_0JiSsK4bHEoKSAgFg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.013 [XNIO-1 task-4]  g23H_0JiSsK4bHEoKSAgFg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.014 [XNIO-1 task-4]  g23H_0JiSsK4bHEoKSAgFg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = yy2jXd8KQfaCWgu7FyCiWA redirectUri = http://localhost:8080/authorization
18:00:42.021 [XNIO-1 task-3]  pUjLI3PTT-mhIWmeB3pOcA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.021 [XNIO-1 task-3]  pUjLI3PTT-mhIWmeB3pOcA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.022 [XNIO-1 task-3]  pUjLI3PTT-mhIWmeB3pOcA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.024 [XNIO-1 task-4]  g23H_0JiSsK4bHEoKSAgFg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:42.025 [XNIO-1 task-3]  pUjLI3PTT-mhIWmeB3pOcA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.030 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:372977ab
18:00:42.030 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:0e988c35-7c81-4cd1-ad62-fd829d8cf6cf
18:00:42.033 [XNIO-1 task-3]  pUjLI3PTT-mhIWmeB3pOcA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.042 [XNIO-1 task-3]  u89i3Fg-QaOHx1C5heO_Uw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.042 [XNIO-1 task-3]  u89i3Fg-QaOHx1C5heO_Uw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.042 [XNIO-1 task-4]  UT9ImJVuSR-sRz62GLgBow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.043 [XNIO-1 task-4]  UT9ImJVuSR-sRz62GLgBow DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.043 [XNIO-1 task-4]  UT9ImJVuSR-sRz62GLgBow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.043 [XNIO-1 task-3]  u89i3Fg-QaOHx1C5heO_Uw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:42.044 [XNIO-1 task-4]  UT9ImJVuSR-sRz62GLgBow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.045 [XNIO-1 task-4]  UT9ImJVuSR-sRz62GLgBow DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:42.050 [XNIO-1 task-3]  u89i3Fg-QaOHx1C5heO_Uw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.051 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:0e988c35-7c81-4cd1-ad62-fd829d8cf6cf
18:00:42.053 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:c1719322
18:00:42.055 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:344abcb4-9699-4257-8f31-6528e7e3ad59
18:00:42.055 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:c1719322
18:00:42.058 [XNIO-1 task-3]  dB5gsB9bS3GCR8_7zBMwNw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.058 [XNIO-1 task-3]  dB5gsB9bS3GCR8_7zBMwNw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.059 [XNIO-1 task-3]  dB5gsB9bS3GCR8_7zBMwNw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.060 [XNIO-1 task-3]  dB5gsB9bS3GCR8_7zBMwNw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.060 [XNIO-1 task-4]  UT9ImJVuSR-sRz62GLgBow INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.070 [XNIO-1 task-3]  dB5gsB9bS3GCR8_7zBMwNw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.074 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:9ef17309
18:00:42.081 [XNIO-1 task-4]  3-SCrYObSFOB23cua4MBKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.082 [XNIO-1 task-4]  3-SCrYObSFOB23cua4MBKw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.082 [XNIO-1 task-4]  3-SCrYObSFOB23cua4MBKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.082 [XNIO-1 task-4]  3-SCrYObSFOB23cua4MBKw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.082 [XNIO-1 task-3]  BwwiZcmuSiCtje41BeFc_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.083 [XNIO-1 task-4]  3-SCrYObSFOB23cua4MBKw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.083 [XNIO-1 task-3]  BwwiZcmuSiCtje41BeFc_w DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 029dbd2b-373e-4a4e-9767-023d99640334 scope = null
18:00:42.083 [XNIO-1 task-4]  3-SCrYObSFOB23cua4MBKw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.095 [XNIO-1 task-4]  3-SCrYObSFOB23cua4MBKw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.102 [XNIO-1 task-4]  JV9CbZZESKmEeKjU3dLcLw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.102 [XNIO-1 task-4]  JV9CbZZESKmEeKjU3dLcLw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.102 [XNIO-1 task-4]  JV9CbZZESKmEeKjU3dLcLw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.103 [XNIO-1 task-4]  JV9CbZZESKmEeKjU3dLcLw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.106 [XNIO-1 task-5]  kv8dscxDRumbeFb9SnUpyg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.106 [XNIO-1 task-5]  kv8dscxDRumbeFb9SnUpyg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.106 [XNIO-1 task-5]  kv8dscxDRumbeFb9SnUpyg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.109 [XNIO-1 task-4]  JV9CbZZESKmEeKjU3dLcLw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.111 [XNIO-1 task-5]  kv8dscxDRumbeFb9SnUpyg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = CG_9ol83QNuit-QJjCLrww redirectUri = http://localhost:8080/authorization
18:00:42.117 [XNIO-1 task-4]  EHP0j2OTT26iwXygGsDy6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.117 [XNIO-1 task-4]  EHP0j2OTT26iwXygGsDy6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.118 [XNIO-1 task-4]  EHP0j2OTT26iwXygGsDy6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.120 [XNIO-1 task-4]  EHP0j2OTT26iwXygGsDy6w DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.122 [XNIO-1 task-3]  BwwiZcmuSiCtje41BeFc_w INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.125 [XNIO-1 task-4]  EHP0j2OTT26iwXygGsDy6w INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.132 [XNIO-1 task-4]  rWPLiwRYR6WH02vUZ12kPg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.132 [XNIO-1 task-4]  rWPLiwRYR6WH02vUZ12kPg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.132 [XNIO-1 task-4]  rWPLiwRYR6WH02vUZ12kPg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:42.133 [XNIO-1 task-4]  rWPLiwRYR6WH02vUZ12kPg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:42.135 [XNIO-1 task-5]  kv8dscxDRumbeFb9SnUpyg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.143 [XNIO-1 task-4]  rWPLiwRYR6WH02vUZ12kPg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.150 [XNIO-1 task-4]  -_0xAQCZRgCxpRFqJ_8eAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.150 [XNIO-1 task-4]  -_0xAQCZRgCxpRFqJ_8eAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.151 [XNIO-1 task-4]  -_0xAQCZRgCxpRFqJ_8eAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.151 [XNIO-1 task-4]  -_0xAQCZRgCxpRFqJ_8eAQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:42.155 [XNIO-1 task-3]  4Dx2wvG6RnWhTrMCbWpxAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.155 [XNIO-1 task-3]  4Dx2wvG6RnWhTrMCbWpxAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.156 [XNIO-1 task-3]  4Dx2wvG6RnWhTrMCbWpxAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.156 [XNIO-1 task-3]  4Dx2wvG6RnWhTrMCbWpxAQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:42.162 [XNIO-1 task-4]  -_0xAQCZRgCxpRFqJ_8eAQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.163 [XNIO-1 task-4]  -_0xAQCZRgCxpRFqJ_8eAQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:42.171 [XNIO-1 task-3]  VOyIxoGCQ3uITdyiRU0k1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.171 [XNIO-1 task-3]  VOyIxoGCQ3uITdyiRU0k1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.172 [XNIO-1 task-3]  VOyIxoGCQ3uITdyiRU0k1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.173 [XNIO-1 task-3]  VOyIxoGCQ3uITdyiRU0k1A DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:42.179 [XNIO-1 task-3]  VOyIxoGCQ3uITdyiRU0k1A DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.197 [XNIO-1 task-3]  w4KlO2DvR3et_UDde5uRYw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.197 [XNIO-1 task-3]  w4KlO2DvR3et_UDde5uRYw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.197 [XNIO-1 task-3]  w4KlO2DvR3et_UDde5uRYw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.198 [XNIO-1 task-3]  w4KlO2DvR3et_UDde5uRYw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:42.199 [XNIO-1 task-4]  eZY13ZdvS6mKBb0QaiSkqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.199 [XNIO-1 task-4]  eZY13ZdvS6mKBb0QaiSkqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:42.200 [XNIO-1 task-4]  eZY13ZdvS6mKBb0QaiSkqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:42.201 [XNIO-1 task-4]  eZY13ZdvS6mKBb0QaiSkqg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MzQ0YWJjYjQtOTY5OS00MjU3LThmMzEtNjUyOGU3ZTNhZDU5OndMQTh5MmN0U3ZxVUp1eVlVY3drOGc=", "Basic MzQ0YWJjYjQtOTY5OS00MjU3LThmMzEtNjUyOGU3ZTNhZDU5OndMQTh5MmN0U3ZxVUp1eVlVY3drOGc=", authorization)
18:00:42.206 [XNIO-1 task-3]  w4KlO2DvR3et_UDde5uRYw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:42.207 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:06ce6bc9-9d53-486a-a50e-960a4d168f0d
18:00:42.210 [XNIO-1 task-4]  eZY13ZdvS6mKBb0QaiSkqg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
