18:00:40.287 [XNIO-1 task-1]  FwR53MnwQwqZbvSUx3HKCA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:40.305 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:40.305 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:40.305 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:40.306 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:40.306 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:40.306 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:40.306 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:40.310 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:40.310 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:40.322 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:40.322 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:40.325 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=KxBJaURWT5utuRVHyV0wHw
18:00:40.329 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:40.329 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:40.334 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:40.335 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:40.335 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:40.338 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG com.networknt.schema.TypeValidator debug - validate( "93918b0a-406f-4732-9071-3123fc8c8218", "93918b0a-406f-4732-9071-3123fc8c8218", client_id)
18:00:40.339 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:40.339 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:40.340 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:40.340 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:40.340 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:40.344 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:40.344 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:40.344 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:40.345 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG com.networknt.schema.TypeValidator debug - validate( "06ce6bc9-9d53-486a-a50e-960a4d168f0d", "06ce6bc9-9d53-486a-a50e-960a4d168f0d", client_id)
18:00:40.346 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:40.346 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:40.347 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:40.347 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:40.347 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:40.370 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:40.370 [XNIO-1 task-2]  gzVszPQdR32i4VkFkvvHwg DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:40.371 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:40.371 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:40.376 [XNIO-1 task-1]  WQL11wPmSG-EPll1yiL7Bg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=OSWJP4bWS-WpdSa_stbC6w
18:00:40.567 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:ad37901c
18:00:40.569 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:ad37901c
18:00:40.584 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:3d0a56ff-a488-4037-8922-0dac76d559f8
18:00:40.752 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:3d0a56ff-a488-4037-8922-0dac76d559f8
18:00:40.836 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:36e5168a
18:00:40.926 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:ad37901c
18:00:40.984 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:ad37901c
18:00:41.006 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:36e5168a
18:00:41.008 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:ad37901c
18:00:41.245 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:ad37901c
18:00:41.607 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:ad37901c
18:00:41.772 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:41.772 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:41.772 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:41.772 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:41.772 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:41.773 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:41.773 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG com.networknt.schema.TypeValidator debug - validate( "hhD48gomiimrqmCkbOumpgJfAJidXFg-lJhkOzPKF_4", "hhD48gomiimrqmCkbOumpgJfAJidXFg-lJhkOzPKF_4", code_challenge)
18:00:41.775 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG com.networknt.schema.TypeValidator debug - validate( "06ce6bc9-9d53-486a-a50e-960a4d168f0d", "06ce6bc9-9d53-486a-a50e-960a4d168f0d", client_id)
18:00:41.775 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:41.776 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:41.776 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:41.776 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:41.777 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:41.777 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:41.777 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:41.777 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:41.777 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:41.777 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:41.830 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:41.831 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:41.836 [XNIO-1 task-1]  H4mw1cnPSVCAp_894ufmIQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=Wu2e-TEVTZCZ5nf1_TCzNA
18:00:41.847 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:41.847 [XNIO-1 task-2]  af3KJB7OT6yt-VlunEC3Sw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:41.921 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:41.921 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:41.921 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:41.922 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG com.networknt.schema.TypeValidator debug - validate( "93918b0a-406f-4732-9071-3123fc8c8218", "93918b0a-406f-4732-9071-3123fc8c8218", client_id)
18:00:41.923 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:41.924 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:41.924 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:41.924 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:41.924 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:41.943 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:41.943 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:41.962 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:41.962 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:41.962 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:41.963 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG com.networknt.schema.TypeValidator debug - validate( "06ce6bc9-9d53-486a-a50e-960a4d168f0d", "06ce6bc9-9d53-486a-a50e-960a4d168f0d", client_id)
18:00:41.964 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:41.964 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:41.965 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:41.965 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:41.965 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:41.972 [XNIO-1 task-2]  i02rdfCBQlqSu23knVVZBg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=pwsjPl_PS_O-Bfg37quvpg
18:00:41.978 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:41.978 [XNIO-1 task-1]  L7DXKRG8T0O67pSZDak9bQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:41.984 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:41.985 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:41.986 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:41.987 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG com.networknt.schema.TypeValidator debug - validate( "8bxxjUbeXovuX3QFeodDl4EmUvFZoxSN6LZxB16M3gw", "8bxxjUbeXovuX3QFeodDl4EmUvFZoxSN6LZxB16M3gw", code_challenge)
18:00:41.988 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
18:00:41.989 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:41.990 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:41.990 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:41.991 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:41.991 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:42.001 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.001 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.002 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.002 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.003 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.004 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:42.004 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:42.004 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:42.004 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:42.005 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:42.005 [XNIO-1 task-1]  eriT3UbtQauSNQr4R4UngQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=yy2jXd8KQfaCWgu7FyCiWA
18:00:42.022 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:42.022 [XNIO-1 task-2]  -xrGp5UhSCqGM1BHykhKfA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:42.030 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.030 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:42.030 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:42.031 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG com.networknt.schema.TypeValidator debug - validate( "93918b0a-406f-4732-9071-3123fc8c8218", "93918b0a-406f-4732-9071-3123fc8c8218", client_id)
18:00:42.032 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:42.032 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:42.033 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:42.033 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:42.033 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:ad37901c
18:00:42.041 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:42.042 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:42.045 [XNIO-1 task-2]  7jkntSD4QueGtQm_37TxKw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=AVNK-Zm9RH-cXVgRq-Lxig
18:00:42.049 [XNIO-1 task-2]  Rwi5jnHCQWKVBT4NgaszCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.049 [XNIO-1 task-2]  Rwi5jnHCQWKVBT4NgaszCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.049 [XNIO-1 task-2]  Rwi5jnHCQWKVBT4NgaszCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:42.050 [XNIO-1 task-2]  Rwi5jnHCQWKVBT4NgaszCQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:42.051 [XNIO-1 task-2]  Rwi5jnHCQWKVBT4NgaszCQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:42.051 [XNIO-1 task-2]  Rwi5jnHCQWKVBT4NgaszCQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
