23:10:19.937 [XNIO-1 task-1]  v-CwHm1PQvmHEuXa-uXWTw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/9839f140-fbdf-42c1-a11f-3397c148ea80, base path is set to: null
23:10:19.962 [XNIO-1 task-1]  IW7OMqpkQ1ikChzFHhG5bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:19.962 [XNIO-1 task-1]  IW7OMqpkQ1ikChzFHhG5bQ DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = fe78823f-864e-4662-87e8-3054ef1e52be
23:10:19.963 [XNIO-1 task-1]  IW7OMqpkQ1ikChzFHhG5bQ ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token fe78823f-864e-4662-87e8-3054ef1e52be is not found.","severity":"ERROR"}
23:10:19.973 [XNIO-1 task-1]  Ac9dGQGgQw-dluHb0AK0-w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:19.973 [XNIO-1 task-1]  Ac9dGQGgQw-dluHb0AK0-w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:19.973 [XNIO-1 task-1]  Ac9dGQGgQw-dluHb0AK0-w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:19.973 [XNIO-1 task-1]  Ac9dGQGgQw-dluHb0AK0-w DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:19.981 [XNIO-1 task-1]  9TmUlbstSlyIdvBaS_nO6g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/23344a32-c2ab-4f6c-89f8-377f770406d6, base path is set to: null
23:10:19.982 [XNIO-1 task-1]  9TmUlbstSlyIdvBaS_nO6g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:19.982 [XNIO-1 task-1]  9TmUlbstSlyIdvBaS_nO6g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:19.982 [XNIO-1 task-1]  9TmUlbstSlyIdvBaS_nO6g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/23344a32-c2ab-4f6c-89f8-377f770406d6, base path is set to: null
23:10:19.982 [XNIO-1 task-1]  9TmUlbstSlyIdvBaS_nO6g DEBUG com.networknt.schema.TypeValidator debug - validate( "23344a32-c2ab-4f6c-89f8-377f770406d6", "23344a32-c2ab-4f6c-89f8-377f770406d6", refreshToken)
23:10:19.984 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:cc76ee8c-083f-434f-8838-49011b91b908
23:10:19.996 [XNIO-1 task-1]  FowQb0MWSjuuNxPlqfx7-g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:19.996 [XNIO-1 task-1]  FowQb0MWSjuuNxPlqfx7-g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:19.996 [XNIO-1 task-1]  FowQb0MWSjuuNxPlqfx7-g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:19.996 [XNIO-1 task-1]  FowQb0MWSjuuNxPlqfx7-g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:19.996 [XNIO-1 task-1]  FowQb0MWSjuuNxPlqfx7-g DEBUG com.networknt.schema.TypeValidator debug - validate( "fe78823f-864e-4662-87e8-3054ef1e52be", "fe78823f-864e-4662-87e8-3054ef1e52be", refreshToken)
23:10:20.022 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.027 [XNIO-1 task-1]  UjygqXTNRKGQDhkNQHc2TQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:20.027 [XNIO-1 task-1]  UjygqXTNRKGQDhkNQHc2TQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.027 [XNIO-1 task-1]  UjygqXTNRKGQDhkNQHc2TQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.027 [XNIO-1 task-1]  UjygqXTNRKGQDhkNQHc2TQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:20.027 [XNIO-1 task-1]  UjygqXTNRKGQDhkNQHc2TQ DEBUG com.networknt.schema.TypeValidator debug - validate( "fe78823f-864e-4662-87e8-3054ef1e52be", "fe78823f-864e-4662-87e8-3054ef1e52be", refreshToken)
23:10:20.027 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.034 [XNIO-1 task-1]  NgYnYF5sQIKCrtNB2BeCfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.034 [XNIO-1 task-1]  NgYnYF5sQIKCrtNB2BeCfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.034 [XNIO-1 task-1]  NgYnYF5sQIKCrtNB2BeCfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.035 [XNIO-1 task-1]  NgYnYF5sQIKCrtNB2BeCfQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.035 [XNIO-1 task-1]  NgYnYF5sQIKCrtNB2BeCfQ DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.041 [XNIO-1 task-1]  9YYsWwYWTxygqMunoyY17w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10, base path is set to: null
23:10:20.041 [XNIO-1 task-1]  9YYsWwYWTxygqMunoyY17w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.042 [XNIO-1 task-1]  9YYsWwYWTxygqMunoyY17w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.042 [XNIO-1 task-1]  9YYsWwYWTxygqMunoyY17w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10, base path is set to: null
23:10:20.042 [XNIO-1 task-1]  9YYsWwYWTxygqMunoyY17w DEBUG com.networknt.schema.TypeValidator debug - validate( "32b9445f-544e-4864-86e1-80819d64ad10", "32b9445f-544e-4864-86e1-80819d64ad10", refreshToken)
23:10:20.043 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:4edbaa69
23:10:20.045 [XNIO-1 task-1]  gRQUxImHSNGOT57fMHeVkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:20.045 [XNIO-1 task-1]  gRQUxImHSNGOT57fMHeVkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.045 [XNIO-1 task-1]  gRQUxImHSNGOT57fMHeVkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.045 [XNIO-1 task-1]  gRQUxImHSNGOT57fMHeVkQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:20.045 [XNIO-1 task-1]  gRQUxImHSNGOT57fMHeVkQ DEBUG com.networknt.schema.TypeValidator debug - validate( "fe78823f-864e-4662-87e8-3054ef1e52be", "fe78823f-864e-4662-87e8-3054ef1e52be", refreshToken)
23:10:20.046 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.052 [XNIO-1 task-1]  MmNlM4rlRXeaVjACGknQXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:20.052 [XNIO-1 task-1]  MmNlM4rlRXeaVjACGknQXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.052 [XNIO-1 task-1]  MmNlM4rlRXeaVjACGknQXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.052 [XNIO-1 task-1]  MmNlM4rlRXeaVjACGknQXw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:20.052 [XNIO-1 task-1]  MmNlM4rlRXeaVjACGknQXw DEBUG com.networknt.schema.TypeValidator debug - validate( "fe78823f-864e-4662-87e8-3054ef1e52be", "fe78823f-864e-4662-87e8-3054ef1e52be", refreshToken)
23:10:20.052 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.058 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:849a55ed
23:10:20.059 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:849a55ed
23:10:20.065 [XNIO-1 task-1]  KMoRSOKpTayr4QJqOC1cfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.065 [XNIO-1 task-1]  KMoRSOKpTayr4QJqOC1cfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.065 [XNIO-1 task-1]  KMoRSOKpTayr4QJqOC1cfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.065 [XNIO-1 task-1]  KMoRSOKpTayr4QJqOC1cfA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.071 [XNIO-1 task-1]  a_ubUhjESViu_nPFMtorxQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.071 [XNIO-1 task-1]  a_ubUhjESViu_nPFMtorxQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.071 [XNIO-1 task-1]  a_ubUhjESViu_nPFMtorxQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token, base path is set to: null
23:10:20.072 [XNIO-1 task-1]  a_ubUhjESViu_nPFMtorxQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
23:10:20.072 [XNIO-1 task-1]  a_ubUhjESViu_nPFMtorxQ DEBUG c.n.o.t.h.Oauth2RefreshTokenGetHandler handleRequest - userId = % page = 0 pageSize = 10
23:10:20.093 [XNIO-1 task-1]  JUv5B---SL2gpsAikyaONA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.093 [XNIO-1 task-1]  JUv5B---SL2gpsAikyaONA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.093 [XNIO-1 task-1]  JUv5B---SL2gpsAikyaONA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.094 [XNIO-1 task-1]  JUv5B---SL2gpsAikyaONA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.095 [XNIO-1 task-1]  JUv5B---SL2gpsAikyaONA DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.096 [XNIO-1 task-1]  JUv5B---SL2gpsAikyaONA ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token fe78823f-864e-4662-87e8-3054ef1e52be is not found.","severity":"ERROR"}
23:10:20.102 [XNIO-1 task-1]  FQcEiZrGSaixL1pkhpseZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.102 [XNIO-1 task-1]  FQcEiZrGSaixL1pkhpseZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.102 [XNIO-1 task-1]  FQcEiZrGSaixL1pkhpseZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.103 [XNIO-1 task-1]  FQcEiZrGSaixL1pkhpseZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.103 [XNIO-1 task-1]  FQcEiZrGSaixL1pkhpseZA DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.110 [XNIO-1 task-1]  4_1OoQYTTKaU9CIUWOiosg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.110 [XNIO-1 task-1]  4_1OoQYTTKaU9CIUWOiosg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.110 [XNIO-1 task-1]  4_1OoQYTTKaU9CIUWOiosg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.110 [XNIO-1 task-1]  4_1OoQYTTKaU9CIUWOiosg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.110 [XNIO-1 task-1]  4_1OoQYTTKaU9CIUWOiosg DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.113 [XNIO-1 task-1]  WHlPIJq6Q_ms3eZiGGToAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.113 [XNIO-1 task-1]  WHlPIJq6Q_ms3eZiGGToAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.113 [XNIO-1 task-1]  WHlPIJq6Q_ms3eZiGGToAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.113 [XNIO-1 task-1]  WHlPIJq6Q_ms3eZiGGToAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.113 [XNIO-1 task-1]  WHlPIJq6Q_ms3eZiGGToAg DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.116 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:18c3332c
23:10:20.116 [XNIO-1 task-1]  YSVnnjnqTXSWXFXEEokLcw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.116 [XNIO-1 task-1]  YSVnnjnqTXSWXFXEEokLcw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.116 [XNIO-1 task-1]  YSVnnjnqTXSWXFXEEokLcw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.116 [XNIO-1 task-1]  YSVnnjnqTXSWXFXEEokLcw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.116 [XNIO-1 task-1]  YSVnnjnqTXSWXFXEEokLcw DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.118 [XNIO-1 task-1]  YSVnnjnqTXSWXFXEEokLcw ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token fe78823f-864e-4662-87e8-3054ef1e52be is not found.","severity":"ERROR"}
23:10:20.122 [XNIO-1 task-1]  a0gq-IYvTFqtyxPqQvqVMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.122 [XNIO-1 task-1]  a0gq-IYvTFqtyxPqQvqVMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.122 [XNIO-1 task-1]  a0gq-IYvTFqtyxPqQvqVMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.122 [XNIO-1 task-1]  a0gq-IYvTFqtyxPqQvqVMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.122 [XNIO-1 task-1]  a0gq-IYvTFqtyxPqQvqVMQ DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenGetHandler handleRequest - refreshToken = 32b9445f-544e-4864-86e1-80819d64ad10
23:10:20.126 [XNIO-1 task-1]  y0EfgFnaRDmDA11resjvUA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.126 [XNIO-1 task-1]  y0EfgFnaRDmDA11resjvUA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.126 [XNIO-1 task-1]  y0EfgFnaRDmDA11resjvUA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.126 [XNIO-1 task-1]  y0EfgFnaRDmDA11resjvUA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.131 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.131 [XNIO-1 task-1]  9xhuzzOyTh-GGiaxMdCa4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.131 [XNIO-1 task-1]  9xhuzzOyTh-GGiaxMdCa4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.131 [XNIO-1 task-1]  9xhuzzOyTh-GGiaxMdCa4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.132 [XNIO-1 task-1]  9xhuzzOyTh-GGiaxMdCa4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.132 [XNIO-1 task-1]  9xhuzzOyTh-GGiaxMdCa4Q DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.133 [XNIO-1 task-1]  9xhuzzOyTh-GGiaxMdCa4Q ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token fe78823f-864e-4662-87e8-3054ef1e52be is not found.","severity":"ERROR"}
23:10:20.139 [XNIO-1 task-1]  6vuI470QToOl3BpekRlz6A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.139 [XNIO-1 task-1]  6vuI470QToOl3BpekRlz6A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.140 [XNIO-1 task-1]  6vuI470QToOl3BpekRlz6A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.140 [XNIO-1 task-1]  6vuI470QToOl3BpekRlz6A DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.143 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:fe78823f-864e-4662-87e8-3054ef1e52be
23:10:20.146 [XNIO-1 task-1]  i0yIHFTuT5O4qQZm5XiGXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.146 [XNIO-1 task-1]  i0yIHFTuT5O4qQZm5XiGXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.149 [XNIO-1 task-1]  i0yIHFTuT5O4qQZm5XiGXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
23:10:20.149 [XNIO-1 task-1]  i0yIHFTuT5O4qQZm5XiGXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.149 [XNIO-1 task-1]  i0yIHFTuT5O4qQZm5XiGXQ DEBUG c.n.o.t.h.Oauth2RefreshTokenRefreshTokenDeleteHandler handleRequest - refreshToken = 6b5edfa8-b568-4db3-9f4c-a482f8148ca3
23:10:20.162 [XNIO-1 task-1]  lmzpE1eWTje-yHVPZsu2Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.162 [XNIO-1 task-1]  lmzpE1eWTje-yHVPZsu2Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.162 [XNIO-1 task-1]  lmzpE1eWTje-yHVPZsu2Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:20.163 [XNIO-1 task-1]  lmzpE1eWTje-yHVPZsu2Hg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
23:10:20.172 [XNIO-1 task-1]  lY9S8bO_TKuf_LqR23bgUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10, base path is set to: null
23:10:20.172 [XNIO-1 task-1]  lY9S8bO_TKuf_LqR23bgUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.173 [XNIO-1 task-1]  lY9S8bO_TKuf_LqR23bgUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.173 [XNIO-1 task-1]  lY9S8bO_TKuf_LqR23bgUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/32b9445f-544e-4864-86e1-80819d64ad10, base path is set to: null
23:10:20.173 [XNIO-1 task-1]  lY9S8bO_TKuf_LqR23bgUw DEBUG com.networknt.schema.TypeValidator debug - validate( "32b9445f-544e-4864-86e1-80819d64ad10", "32b9445f-544e-4864-86e1-80819d64ad10", refreshToken)
23:10:20.178 [XNIO-1 task-1]  zysjUrMIQn2B9ke6eBUN0A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:20.178 [XNIO-1 task-1]  zysjUrMIQn2B9ke6eBUN0A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:20.178 [XNIO-1 task-1]  zysjUrMIQn2B9ke6eBUN0A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:20.178 [XNIO-1 task-1]  zysjUrMIQn2B9ke6eBUN0A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
