19:00:41.635 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:0a7d5b86
19:00:41.893 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:88d06e6d
19:00:41.898 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:88d06e6d
19:00:41.900 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.900 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.902 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.903 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.903 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.903 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.903 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:41.904 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:41.904 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:41.905 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:41.905 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:41.905 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:41.905 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:41.906 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:41.906 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:41.907 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:41.907 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:41.907 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:41.926 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:41.926 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:41.931 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:41.931 [XNIO-1 task-1]  UtQg-KEISjeFy4_jyfWT3w DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:41.935 [XNIO-1 task-2]  BRJJwatuRjKYDh9GY4EKjw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=gX1TUxfbRByC2XuAzcCjnA
19:00:41.944 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.944 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.944 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.945 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:41.945 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:41.946 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:41.948 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:41.948 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:41.971 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:41.971 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:41.978 [XNIO-1 task-2]  v06u4kHnThKdsYiW8t6wwg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=N5fyH3xZQzG9Y24r00yY7A
19:00:42.001 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:1fa30ae4
19:00:42.029 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:6e057d1b
19:00:42.083 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.084 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:42.084 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.085 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:42.085 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:42.087 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:42.088 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:42.088 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:42.088 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:42.101 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:42.101 [XNIO-1 task-2]  3vvoXWnMQquzO2yr8E3E5A DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:42.160 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.161 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:42.161 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.162 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:42.166 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:42.177 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:42.178 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:42.178 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:42.178 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:42.186 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:42.186 [XNIO-1 task-2]  aZDdBW0MSG2SDlYmRWSxWw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:42.202 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.202 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:42.202 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.203 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG com.networknt.schema.TypeValidator debug - validate( "2736cd94-3f12-4487-9735-3f6881568106", "2736cd94-3f12-4487-9735-3f6881568106", client_id)
19:00:42.203 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:42.204 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:42.204 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:42.204 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:42.205 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:42.212 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.213 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.213 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.216 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:42.217 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:42.217 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:42.218 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:42.218 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:42.219 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:42.223 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:88d06e6d
19:00:42.223 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:42.223 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:42.233 [XNIO-1 task-2]  IOVxdr0AS9-6zOMqSgi3Sw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=BS1nEudZSBeDHQuCbbNCpg
19:00:42.234 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:42.235 [XNIO-1 task-1]  -LkEEW4zS6KLBb2barF-hg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:42.245 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.245 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:42.245 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.246 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG com.networknt.schema.TypeValidator debug - validate( "6hhWB-3TBYd3s82SrcaQHQnBeT_m7S2gdXczd-EE0qY", "6hhWB-3TBYd3s82SrcaQHQnBeT_m7S2gdXczd-EE0qY", code_challenge)
19:00:42.244 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.246 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:42.246 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.246 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:42.246 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.247 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG com.networknt.schema.TypeValidator debug - validate( "367411fb-779b-40cf-93ac-21408c27a5ca", "367411fb-779b-40cf-93ac-21408c27a5ca", client_id)
19:00:42.247 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:42.247 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:42.247 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:42.247 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:42.247 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:42.248 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:42.248 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:42.248 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:42.259 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:42.259 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:42.263 [XNIO-1 task-2]  1uLkszIDSsuYtdgy77zsaw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=znzyzsQFRcisJ6Op5YylYw
19:00:42.265 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:42.265 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:42.268 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.268 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.268 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.269 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG com.networknt.schema.TypeValidator debug - validate( "2736cd94-3f12-4487-9735-3f6881568106", "2736cd94-3f12-4487-9735-3f6881568106", client_id)
19:00:42.269 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:42.270 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:42.270 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:42.270 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:42.270 [XNIO-1 task-2]  ZLhSDkBKTdSxRviUDEjZbg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:42.272 [XNIO-1 task-1]  JWpZ_kJ1QJKMMpee33tPBg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=OTuGFScuR06xqtgvkcvKxA
19:00:42.278 [XNIO-1 task-1]  CMWbfG9nQ_u1d06PD0-vDg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.279 [XNIO-1 task-1]  CMWbfG9nQ_u1d06PD0-vDg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.279 [XNIO-1 task-1]  CMWbfG9nQ_u1d06PD0-vDg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:42.280 [XNIO-1 task-1]  CMWbfG9nQ_u1d06PD0-vDg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:42.280 [XNIO-1 task-1]  CMWbfG9nQ_u1d06PD0-vDg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
