08:11:46.169 [XNIO-1 task-2]  MBjlzHl4Q6O-EmMDAPKNyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/65b2e657
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG com.networknt.schema.TypeValidator debug - validate( "4c30277d-c0c6-4bdb-aa40-5e484c66a55f", {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG com.networknt.schema.TypeValidator debug - validate( "39728dc7", {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:46.204 [XNIO-1 task-2]  M8KeuY_bRSeoJ9hkxvMHYQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/39728dc7
08:11:46.204 [XNIO-1 task-2]  M8KeuY_bRSeoJ9hkxvMHYQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.204 [XNIO-1 task-2]  M8KeuY_bRSeoJ9hkxvMHYQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:46.204 [XNIO-1 task-2]  M8KeuY_bRSeoJ9hkxvMHYQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/39728dc7
08:11:46.211 [XNIO-1 task-2]  ygJ2lkL2TfisyXcqiZZssg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.211 [XNIO-1 task-2]  ygJ2lkL2TfisyXcqiZZssg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.211 [XNIO-1 task-2]  ygJ2lkL2TfisyXcqiZZssg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.211 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:2c10dd78
08:11:46.212 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:2c10dd78
08:11:46.218 [XNIO-1 task-2]  La9AAFBrRbODFP8vHLft4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.218 [XNIO-1 task-2]  La9AAFBrRbODFP8vHLft4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.218 [XNIO-1 task-2]  La9AAFBrRbODFP8vHLft4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.219 [XNIO-1 task-2]  La9AAFBrRbODFP8vHLft4Q DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:46.225 [XNIO-1 task-2]  EnDyrP28TzC9t9aGIqMcfg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.225 [XNIO-1 task-2]  EnDyrP28TzC9t9aGIqMcfg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.225 [XNIO-1 task-2]  EnDyrP28TzC9t9aGIqMcfg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.234 [XNIO-1 task-2]  9tKMWdcnQYi2Nq3c6gXkRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.234 [XNIO-1 task-2]  9tKMWdcnQYi2Nq3c6gXkRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.234 [XNIO-1 task-2]  9tKMWdcnQYi2Nq3c6gXkRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.241 [XNIO-1 task-2]  iWVVA46eTgOIo6-5fOt7Hw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/dcf25189
08:11:46.241 [XNIO-1 task-2]  iWVVA46eTgOIo6-5fOt7Hw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.241 [XNIO-1 task-2]  iWVVA46eTgOIo6-5fOt7Hw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:46.241 [XNIO-1 task-2]  iWVVA46eTgOIo6-5fOt7Hw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/dcf25189
08:11:46.244 [XNIO-1 task-2]  8-0149CRSXWPGiVmKkHp8w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/dcf25189, base path is set to: null
08:11:46.245 [XNIO-1 task-2]  8-0149CRSXWPGiVmKkHp8w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.245 [XNIO-1 task-2]  8-0149CRSXWPGiVmKkHp8w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:46.245 [XNIO-1 task-2]  8-0149CRSXWPGiVmKkHp8w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/dcf25189, base path is set to: null
08:11:46.245 [XNIO-1 task-2]  8-0149CRSXWPGiVmKkHp8w DEBUG com.networknt.schema.TypeValidator debug - validate( "dcf25189", "dcf25189", serviceId)
08:11:46.252 [XNIO-1 task-2]  3jR8QQuUQ7aEoY3dmd4wfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/a0f15663
08:11:46.252 [XNIO-1 task-2]  3jR8QQuUQ7aEoY3dmd4wfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.252 [XNIO-1 task-2]  3jR8QQuUQ7aEoY3dmd4wfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:46.252 [XNIO-1 task-2]  3jR8QQuUQ7aEoY3dmd4wfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/a0f15663
08:11:46.256 [XNIO-1 task-2]  SpuNgGGkRk-h_wNZbQo1_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2c10dd78, base path is set to: null
08:11:46.256 [XNIO-1 task-2]  SpuNgGGkRk-h_wNZbQo1_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.256 [XNIO-1 task-2]  SpuNgGGkRk-h_wNZbQo1_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:46.256 [XNIO-1 task-2]  SpuNgGGkRk-h_wNZbQo1_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2c10dd78, base path is set to: null
08:11:46.256 [XNIO-1 task-2]  SpuNgGGkRk-h_wNZbQo1_g DEBUG com.networknt.schema.TypeValidator debug - validate( "2c10dd78", "2c10dd78", serviceId)
08:11:46.257 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:2c10dd78
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG com.networknt.schema.TypeValidator debug - validate( "af2dff08-3ba4-4f0b-999e-022d5dca0f7e", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG com.networknt.schema.TypeValidator debug - validate( "a0f15663", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:46.273 [XNIO-1 task-2]  OrtPUIiFRzu0aNFHAC3c5Q DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:46.285 [XNIO-1 task-2]  0jdo-BwfQm-goUx8yLcaiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.285 [XNIO-1 task-2]  0jdo-BwfQm-goUx8yLcaiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.286 [XNIO-1 task-2]  0jdo-BwfQm-goUx8yLcaiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.299 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.299 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.300 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.300 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:46.300 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:46.300 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG com.networknt.schema.TypeValidator debug - validate( "af2dff08-3ba4-4f0b-999e-022d5dca0f7e", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:46.300 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG com.networknt.schema.TypeValidator debug - validate( "a0f15663", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:46.300 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:46.300 [XNIO-1 task-2]  q0LPcSHLR3yAmIHdpOzN0A DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a0f15663","serviceName":"e8c731a5-105b-42e6-a119-b18f2b8a","serviceDesc":"af2dff08-3ba4-4f0b-999e-022d5dca0f7e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:46.308 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:942aeace-981a-48c2-99f8-f9dbfe22fbba
08:11:46.314 [XNIO-1 task-2]  MonYEUiKSAyc52oMs-_Kow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.319 [XNIO-1 task-2]  MonYEUiKSAyc52oMs-_Kow DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.319 [XNIO-1 task-2]  MonYEUiKSAyc52oMs-_Kow DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.319 [XNIO-1 task-2]  MonYEUiKSAyc52oMs-_Kow DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
08:11:46.327 [XNIO-1 task-2]  nw_PiUUcSQiHeAxoW_bnaA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.327 [XNIO-1 task-2]  nw_PiUUcSQiHeAxoW_bnaA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.327 [XNIO-1 task-2]  nw_PiUUcSQiHeAxoW_bnaA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.343 [XNIO-1 task-2]  sL-Cz5u6SxyQSGOAoU_GbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.343 [XNIO-1 task-2]  sL-Cz5u6SxyQSGOAoU_GbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.343 [XNIO-1 task-2]  sL-Cz5u6SxyQSGOAoU_GbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:46.343 [XNIO-1 task-2]  sL-Cz5u6SxyQSGOAoU_GbQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
08:11:46.351 [XNIO-1 task-2]  QIxsWgkRRWOyUyirAzwdOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/04c6468d, base path is set to: null
08:11:46.351 [XNIO-1 task-2]  QIxsWgkRRWOyUyirAzwdOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.351 [XNIO-1 task-2]  QIxsWgkRRWOyUyirAzwdOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:46.351 [XNIO-1 task-2]  QIxsWgkRRWOyUyirAzwdOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/04c6468d, base path is set to: null
08:11:46.352 [XNIO-1 task-2]  QIxsWgkRRWOyUyirAzwdOQ DEBUG com.networknt.schema.TypeValidator debug - validate( "04c6468d", "04c6468d", serviceId)
08:11:46.355 [XNIO-1 task-2]  SawDAsi2Qg2NuwDFroR47Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.355 [XNIO-1 task-2]  SawDAsi2Qg2NuwDFroR47Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.355 [XNIO-1 task-2]  SawDAsi2Qg2NuwDFroR47Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.372 [XNIO-1 task-2]  -bxo5BRPRT-zE-G6_vdIHA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.372 [XNIO-1 task-2]  -bxo5BRPRT-zE-G6_vdIHA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.372 [XNIO-1 task-2]  -bxo5BRPRT-zE-G6_vdIHA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.390 [XNIO-1 task-2]  vd4mFrEwQyGgu9ZQlkdM1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/085ce6c0
08:11:46.390 [XNIO-1 task-2]  vd4mFrEwQyGgu9ZQlkdM1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.390 [XNIO-1 task-2]  vd4mFrEwQyGgu9ZQlkdM1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:46.390 [XNIO-1 task-2]  vd4mFrEwQyGgu9ZQlkdM1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/085ce6c0
08:11:46.392 [XNIO-1 task-2]  ocL4VAcwQRid3LAtCBMMEw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/085ce6c0, base path is set to: null
08:11:46.392 [XNIO-1 task-2]  ocL4VAcwQRid3LAtCBMMEw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.392 [XNIO-1 task-2]  ocL4VAcwQRid3LAtCBMMEw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:46.393 [XNIO-1 task-2]  ocL4VAcwQRid3LAtCBMMEw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/085ce6c0, base path is set to: null
08:11:46.393 [XNIO-1 task-2]  ocL4VAcwQRid3LAtCBMMEw DEBUG com.networknt.schema.TypeValidator debug - validate( "085ce6c0", "085ce6c0", serviceId)
08:11:46.394 [XNIO-1 task-2]  uAg8WHRqTUiMmAVf2eCLtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.394 [XNIO-1 task-2]  uAg8WHRqTUiMmAVf2eCLtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.395 [XNIO-1 task-2]  uAg8WHRqTUiMmAVf2eCLtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.411 [XNIO-1 task-2]  b42Xdw4PTGyUKqpkgvpBYg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.411 [XNIO-1 task-2]  b42Xdw4PTGyUKqpkgvpBYg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.411 [XNIO-1 task-2]  b42Xdw4PTGyUKqpkgvpBYg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.412 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:ed346242
