16:29:38.846 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:ff38b92a-ff20-4a28-98f1-e21d718f1a77
16:29:38.941 [XNIO-1 task-2]  zd9GJYyrTmKRlBmrlWcndA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.958 [XNIO-1 task-2]  iDLQZ_t7TuiF7TuVEvao9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.958 [XNIO-1 task-2]  iDLQZ_t7TuiF7TuVEvao9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:38.959 [XNIO-1 task-2]  iDLQZ_t7TuiF7TuVEvao9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.979 [XNIO-1 task-2]  oIYvT4bGQS-RYbJrGOELXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/e9535d54, base path is set to: null
16:29:38.979 [XNIO-1 task-2]  oIYvT4bGQS-RYbJrGOELXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:38.979 [XNIO-1 task-2]  oIYvT4bGQS-RYbJrGOELXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:29:38.979 [XNIO-1 task-2]  oIYvT4bGQS-RYbJrGOELXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/e9535d54, base path is set to: null
16:29:38.980 [XNIO-1 task-2]  oIYvT4bGQS-RYbJrGOELXQ DEBUG com.networknt.schema.TypeValidator debug - validate( "e9535d54", "e9535d54", serviceId)
16:29:38.986 [XNIO-1 task-2]  VihxsC9YRvCitmL7ZbpTpA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/acf4c152
16:29:38.986 [XNIO-1 task-2]  VihxsC9YRvCitmL7ZbpTpA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:38.986 [XNIO-1 task-2]  VihxsC9YRvCitmL7ZbpTpA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:38.986 [XNIO-1 task-2]  VihxsC9YRvCitmL7ZbpTpA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/acf4c152
16:29:39.000 [XNIO-1 task-2]  b1D_C9CrTZeR-zg6cSQrAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.000 [XNIO-1 task-2]  b1D_C9CrTZeR-zg6cSQrAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.001 [XNIO-1 task-2]  b1D_C9CrTZeR-zg6cSQrAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.001 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:45c12497
16:29:39.003 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:45c12497
16:29:39.011 [XNIO-1 task-2]  9LA7lY8fSsS0AtWpqvDFIw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.011 [XNIO-1 task-2]  9LA7lY8fSsS0AtWpqvDFIw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.012 [XNIO-1 task-2]  9LA7lY8fSsS0AtWpqvDFIw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.028 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.028 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.029 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.029 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:39.030 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:39.030 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG com.networknt.schema.TypeValidator debug - validate( "d6400a7b-aa75-45cd-b986-97ab7114b6f9", {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
16:29:39.030 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1330243b", {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:29:39.030 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:29:39.030 [XNIO-1 task-2]  CJRbYKYMT-KiEf1Dn_1XRQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"1330243b","serviceName":"e38dd7d7-216e-4107-a8bc-10fe9de6","serviceDesc":"d6400a7b-aa75-45cd-b986-97ab7114b6f9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:39.045 [XNIO-1 task-2]  Z_WncduTRxiMj8Qb46QyyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/29098e38
16:29:39.045 [XNIO-1 task-2]  Z_WncduTRxiMj8Qb46QyyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.045 [XNIO-1 task-2]  Z_WncduTRxiMj8Qb46QyyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:39.045 [XNIO-1 task-2]  Z_WncduTRxiMj8Qb46QyyA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/29098e38
16:29:39.061 [XNIO-1 task-2]  H3fCRONFQY-rb933OsI5iQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.061 [XNIO-1 task-2]  H3fCRONFQY-rb933OsI5iQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.061 [XNIO-1 task-2]  H3fCRONFQY-rb933OsI5iQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.062 [XNIO-1 task-2]  H3fCRONFQY-rb933OsI5iQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:29:39.110 [XNIO-1 task-2]  JOpQ3U2WRV2x1eOulK6i8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/45c12497, base path is set to: null
16:29:39.111 [XNIO-1 task-2]  JOpQ3U2WRV2x1eOulK6i8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.111 [XNIO-1 task-2]  JOpQ3U2WRV2x1eOulK6i8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:29:39.111 [XNIO-1 task-2]  JOpQ3U2WRV2x1eOulK6i8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/45c12497, base path is set to: null
16:29:39.111 [XNIO-1 task-2]  JOpQ3U2WRV2x1eOulK6i8Q DEBUG com.networknt.schema.TypeValidator debug - validate( "45c12497", "45c12497", serviceId)
16:29:39.114 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:45c12497
16:29:39.120 [XNIO-1 task-2]  khEfO7vtQoaxlWds7FdKCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/e9535d54
16:29:39.121 [XNIO-1 task-2]  khEfO7vtQoaxlWds7FdKCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.121 [XNIO-1 task-2]  khEfO7vtQoaxlWds7FdKCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:39.121 [XNIO-1 task-2]  khEfO7vtQoaxlWds7FdKCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/e9535d54
16:29:39.158 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:d1b14a55-712d-42a0-a9bb-42502c9051d9
16:29:39.158 [XNIO-1 task-2]  tIrDw3_BRfua4IEx-YmCeg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.159 [XNIO-1 task-2]  tIrDw3_BRfua4IEx-YmCeg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.159 [XNIO-1 task-2]  tIrDw3_BRfua4IEx-YmCeg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.160 [XNIO-1 task-2]  tIrDw3_BRfua4IEx-YmCeg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:29:39.232 [XNIO-1 task-2]  MViEtxhuRq-a7h7llrPVGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.232 [XNIO-1 task-2]  MViEtxhuRq-a7h7llrPVGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.232 [XNIO-1 task-2]  MViEtxhuRq-a7h7llrPVGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.233 [XNIO-1 task-2]  MViEtxhuRq-a7h7llrPVGA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:29:39.261 [XNIO-1 task-2]  B5UcAjf_RyCe2gdvjLTi3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/1330243b
16:29:39.261 [XNIO-1 task-2]  B5UcAjf_RyCe2gdvjLTi3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.261 [XNIO-1 task-2]  B5UcAjf_RyCe2gdvjLTi3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:39.261 [XNIO-1 task-2]  B5UcAjf_RyCe2gdvjLTi3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/1330243b
16:29:39.276 [XNIO-1 task-2]  eNrsZpObTMuEe3vHHFAVPw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.277 [XNIO-1 task-2]  eNrsZpObTMuEe3vHHFAVPw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.277 [XNIO-1 task-2]  eNrsZpObTMuEe3vHHFAVPw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.362 [XNIO-1 task-2]  FAKdQdQ6RleIREuZ7bYA3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.362 [XNIO-1 task-2]  FAKdQdQ6RleIREuZ7bYA3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.363 [XNIO-1 task-2]  FAKdQdQ6RleIREuZ7bYA3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.364 [XNIO-1 task-2]  FAKdQdQ6RleIREuZ7bYA3Q DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:29:39.391 [XNIO-1 task-2]  GjsU896FSPOpLJe5Ur5w_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.392 [XNIO-1 task-2]  GjsU896FSPOpLJe5Ur5w_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.392 [XNIO-1 task-2]  GjsU896FSPOpLJe5Ur5w_Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.392 [XNIO-1 task-2]  GjsU896FSPOpLJe5Ur5w_Q DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:29:39.404 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:0fc25b2c-e204-4d04-8acd-75c6bf9dac27
16:29:39.408 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:0fc25b2c-e204-4d04-8acd-75c6bf9dac27
16:29:39.415 [XNIO-1 task-2]  h0va_3P6R96uNt6nlg-YOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/40d9676c
16:29:39.415 [XNIO-1 task-2]  h0va_3P6R96uNt6nlg-YOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.415 [XNIO-1 task-2]  h0va_3P6R96uNt6nlg-YOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:39.415 [XNIO-1 task-2]  h0va_3P6R96uNt6nlg-YOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/40d9676c
16:29:39.427 [XNIO-1 task-2]  JEX5ysmESfCJMnfsOG_piw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.428 [XNIO-1 task-2]  JEX5ysmESfCJMnfsOG_piw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.428 [XNIO-1 task-2]  JEX5ysmESfCJMnfsOG_piw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.428 [XNIO-1 task-2]  JEX5ysmESfCJMnfsOG_piw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:29:39.442 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.442 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.443 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.444 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:39.445 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:39.445 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:39.445 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:39.445 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG com.networknt.schema.TypeValidator debug - validate( "0f340ece-e62a-491b-b028-c9dc596e", {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:39.445 [XNIO-1 task-2]  AbK1evd4SzqIol5L1JxfOQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:39.458 [XNIO-1 task-2]  D6wBbJoITPWJg1UCjJ4auA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/40d9676c, base path is set to: null
16:29:39.458 [XNIO-1 task-2]  D6wBbJoITPWJg1UCjJ4auA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.458 [XNIO-1 task-2]  D6wBbJoITPWJg1UCjJ4auA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:29:39.458 [XNIO-1 task-2]  D6wBbJoITPWJg1UCjJ4auA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/40d9676c, base path is set to: null
16:29:39.459 [XNIO-1 task-2]  D6wBbJoITPWJg1UCjJ4auA DEBUG com.networknt.schema.TypeValidator debug - validate( "40d9676c", "40d9676c", serviceId)
16:29:39.468 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.468 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.468 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.470 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:39.470 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:39.470 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG com.networknt.schema.TypeValidator debug - validate( "cf031cf3-f9ba-4746-a781-64a80b750ca2", {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
16:29:39.471 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG com.networknt.schema.TypeValidator debug - validate( "40d9676c", {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:29:39.471 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:29:39.471 [XNIO-1 task-2]  uV9eOa0CQyuoQPnwR9WEag DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"40d9676c","serviceName":"0f340ece-e62a-491b-b028-c9dc596e","serviceDesc":"cf031cf3-f9ba-4746-a781-64a80b750ca2","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:39.490 [XNIO-1 task-2]  AU2YlAyZSsWWDTX-hyQxPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/40d9676c
16:29:39.490 [XNIO-1 task-2]  AU2YlAyZSsWWDTX-hyQxPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:39.491 [XNIO-1 task-2]  AU2YlAyZSsWWDTX-hyQxPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:39.491 [XNIO-1 task-2]  AU2YlAyZSsWWDTX-hyQxPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/40d9676c
16:29:39.502 [XNIO-1 task-2]  p4ilJsBmRFqYDA_NZW8o5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.502 [XNIO-1 task-2]  p4ilJsBmRFqYDA_NZW8o5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.503 [XNIO-1 task-2]  p4ilJsBmRFqYDA_NZW8o5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:39.529 [XNIO-1 task-2]  uwoqxuwcTZKGsyUyWfaT_w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/9dccfa24, base path is set to: null
16:29:39.529 [XNIO-1 task-2]  uwoqxuwcTZKGsyUyWfaT_w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:39.529 [XNIO-1 task-2]  uwoqxuwcTZKGsyUyWfaT_w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
