16:29:40.148 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:66c2c2bd
16:29:40.207 [XNIO-1 task-4]  kBWDF1y3Q2WaOBLYC9q6qw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:40.209 [XNIO-1 task-2]  lqjdlXLvSrqVQqgvkNyY7Q DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 96bce40c-3e1e-41df-ac31-34e16e0a46b8 scope = null
16:29:40.213 [XNIO-1 task-4]  kBWDF1y3Q2WaOBLYC9q6qw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.217 [XNIO-1 task-1]  sxn9TW9eQq6pn3-ZVwo2iw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.221 [XNIO-1 task-4]  XgY8YVqfRTGjmhawhHeKOw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.238 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:aa22f24b-51c1-442c-b1ea-00337461b58b
16:29:40.239 [XNIO-1 task-4]  XgY8YVqfRTGjmhawhHeKOw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.239 [XNIO-1 task-2]  lqjdlXLvSrqVQqgvkNyY7Q DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.243 [XNIO-1 task-4]  XgY8YVqfRTGjmhawhHeKOw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.245 [XNIO-1 task-4]  XgY8YVqfRTGjmhawhHeKOw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:40.252 [XNIO-1 task-4]  XgY8YVqfRTGjmhawhHeKOw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.262 [XNIO-1 task-4]  txFXf0cKQeyNs7vOaKDKog DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.262 [XNIO-1 task-4]  txFXf0cKQeyNs7vOaKDKog DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.263 [XNIO-1 task-4]  txFXf0cKQeyNs7vOaKDKog DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.266 [XNIO-1 task-4]  txFXf0cKQeyNs7vOaKDKog DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:40.272 [XNIO-1 task-4]  txFXf0cKQeyNs7vOaKDKog DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.282 [XNIO-1 task-2]  iHkA_fdyTym1WcKFs_gvGg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.282 [XNIO-1 task-2]  iHkA_fdyTym1WcKFs_gvGg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.283 [XNIO-1 task-2]  iHkA_fdyTym1WcKFs_gvGg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.283 [XNIO-1 task-2]  iHkA_fdyTym1WcKFs_gvGg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:40.288 [XNIO-1 task-4]  SHm8awRoT7WBeZMb9JXmlw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.288 [XNIO-1 task-4]  SHm8awRoT7WBeZMb9JXmlw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.289 [XNIO-1 task-4]  SHm8awRoT7WBeZMb9JXmlw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.289 [XNIO-1 task-4]  SHm8awRoT7WBeZMb9JXmlw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OGRkNjkzZGEtMWIzNC00MmY2LTg5ZGEtOWNmODQyZGZkYzczOmpVLVFtd0t3U3JXWlJZV2JyUlVfZHc=", "Basic OGRkNjkzZGEtMWIzNC00MmY2LTg5ZGEtOWNmODQyZGZkYzczOmpVLVFtd0t3U3JXWlJZV2JyUlVfZHc=", authorization)
16:29:40.293 [XNIO-1 task-2]  iHkA_fdyTym1WcKFs_gvGg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.301 [XNIO-1 task-2]  cCX6rgvZRZuyj78QTkTimg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.302 [XNIO-1 task-2]  cCX6rgvZRZuyj78QTkTimg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.302 [XNIO-1 task-2]  cCX6rgvZRZuyj78QTkTimg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.303 [XNIO-1 task-2]  cCX6rgvZRZuyj78QTkTimg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:40.308 [XNIO-1 task-2]  cCX6rgvZRZuyj78QTkTimg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.308 [XNIO-1 task-2]  cCX6rgvZRZuyj78QTkTimg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.308 [XNIO-1 task-4]  SHm8awRoT7WBeZMb9JXmlw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.312 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:c418ff08-759b-4e8d-ad8c-ad4044565a2b
16:29:40.315 [XNIO-1 task-2]  -5hBEp94SeOi6haA45r4rQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.315 [XNIO-1 task-2]  -5hBEp94SeOi6haA45r4rQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.317 [XNIO-1 task-2]  -5hBEp94SeOi6haA45r4rQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.318 [XNIO-1 task-2]  -5hBEp94SeOi6haA45r4rQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:40.332 [XNIO-1 task-2]  -5hBEp94SeOi6haA45r4rQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.339 [XNIO-1 task-2]  C_l4kra4RPWG9tmHfmuUwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.339 [XNIO-1 task-2]  C_l4kra4RPWG9tmHfmuUwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.341 [XNIO-1 task-2]  C_l4kra4RPWG9tmHfmuUwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.342 [XNIO-1 task-2]  C_l4kra4RPWG9tmHfmuUwg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:40.349 [XNIO-1 task-2]  C_l4kra4RPWG9tmHfmuUwg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.356 [XNIO-1 task-2]  IXtVzO7AQ0yvB8WpaAjBxg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.357 [XNIO-1 task-2]  IXtVzO7AQ0yvB8WpaAjBxg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.358 [XNIO-1 task-2]  IXtVzO7AQ0yvB8WpaAjBxg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.358 [XNIO-1 task-2]  IXtVzO7AQ0yvB8WpaAjBxg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:40.368 [XNIO-1 task-2]  IXtVzO7AQ0yvB8WpaAjBxg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.374 [XNIO-1 task-2]  6eGljVfuQqKoXsUPesOgvA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.374 [XNIO-1 task-2]  6eGljVfuQqKoXsUPesOgvA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.376 [XNIO-1 task-2]  6eGljVfuQqKoXsUPesOgvA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.378 [XNIO-1 task-2]  6eGljVfuQqKoXsUPesOgvA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:40.380 [XNIO-1 task-4]  4hsdT1MWQW-w1VmkUPnFlg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.380 [XNIO-1 task-4]  4hsdT1MWQW-w1VmkUPnFlg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.380 [XNIO-1 task-4]  4hsdT1MWQW-w1VmkUPnFlg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.381 [XNIO-1 task-4]  4hsdT1MWQW-w1VmkUPnFlg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = 6CikmynsQO-EYtydTO9myQ redirectUri = http://localhost:8080/authorization
16:29:40.383 [XNIO-1 task-2]  6eGljVfuQqKoXsUPesOgvA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.389 [XNIO-1 task-4]  4hsdT1MWQW-w1VmkUPnFlg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.389 [XNIO-1 task-2]  ONGY8WPrR22B11xmccVvBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.391 [XNIO-1 task-2]  ONGY8WPrR22B11xmccVvBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.392 [XNIO-1 task-2]  ONGY8WPrR22B11xmccVvBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.392 [XNIO-1 task-2]  ONGY8WPrR22B11xmccVvBQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:40.397 [XNIO-1 task-2]  ONGY8WPrR22B11xmccVvBQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.403 [XNIO-1 task-4]  jMK-Nb9fT1SA2Zn6A8VxZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.404 [XNIO-1 task-4]  jMK-Nb9fT1SA2Zn6A8VxZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.404 [XNIO-1 task-4]  jMK-Nb9fT1SA2Zn6A8VxZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.405 [XNIO-1 task-4]  jMK-Nb9fT1SA2Zn6A8VxZQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:40.410 [XNIO-1 task-4]  jMK-Nb9fT1SA2Zn6A8VxZQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.416 [XNIO-1 task-4]  u_SPiBoFRpSNScmt-7Zsqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.416 [XNIO-1 task-4]  u_SPiBoFRpSNScmt-7Zsqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.417 [XNIO-1 task-4]  u_SPiBoFRpSNScmt-7Zsqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.422 [XNIO-1 task-4]  u_SPiBoFRpSNScmt-7Zsqg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", authorization)
16:29:40.428 [XNIO-1 task-4]  u_SPiBoFRpSNScmt-7Zsqg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.439 [XNIO-1 task-4]  1XRRmEOMR3yHRmG8lQEa9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.439 [XNIO-1 task-4]  1XRRmEOMR3yHRmG8lQEa9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.440 [XNIO-1 task-4]  1XRRmEOMR3yHRmG8lQEa9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.440 [XNIO-1 task-4]  1XRRmEOMR3yHRmG8lQEa9Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", authorization)
16:29:40.446 [XNIO-1 task-4]  1XRRmEOMR3yHRmG8lQEa9Q DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.452 [XNIO-1 task-4]  -GFN7VF-RxGtL_bRM4xXLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.453 [XNIO-1 task-4]  -GFN7VF-RxGtL_bRM4xXLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.454 [XNIO-1 task-4]  -GFN7VF-RxGtL_bRM4xXLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.454 [XNIO-1 task-4]  -GFN7VF-RxGtL_bRM4xXLQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", authorization)
16:29:40.461 [XNIO-1 task-4]  -GFN7VF-RxGtL_bRM4xXLQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.468 [XNIO-1 task-4]  BlCMPvTKTCSMWPKahIzQlQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.468 [XNIO-1 task-4]  BlCMPvTKTCSMWPKahIzQlQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.468 [XNIO-1 task-4]  BlCMPvTKTCSMWPKahIzQlQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.469 [XNIO-1 task-4]  BlCMPvTKTCSMWPKahIzQlQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", "Basic ZTgxYjZlOTAtNmNmNC00NzZmLTlhZjItMTVhY2Q5ODgwN2YzOmlFb2lrZi1oVEJLeFZDMTM1NEtpanc=", authorization)
16:29:40.474 [XNIO-1 task-4]  BlCMPvTKTCSMWPKahIzQlQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.480 [XNIO-1 task-4]  zCzzYz2LS3qLMap6EuTYyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.481 [XNIO-1 task-4]  zCzzYz2LS3qLMap6EuTYyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.481 [XNIO-1 task-4]  zCzzYz2LS3qLMap6EuTYyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.482 [XNIO-1 task-4]  zCzzYz2LS3qLMap6EuTYyQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic N2MzZTM3YzctMjY5ZS00N2ZmLTlhYmYtNjAxODVjNWU3ZWYwOkhoSWxTZmJWUThHbjc1M29OOFJPZ2c=", "Basic N2MzZTM3YzctMjY5ZS00N2ZmLTlhYmYtNjAxODVjNWU3ZWYwOkhoSWxTZmJWUThHbjc1M29OOFJPZ2c=", authorization)
16:29:40.490 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:7d171003
16:29:40.491 [XNIO-1 task-4]  zCzzYz2LS3qLMap6EuTYyQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.493 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:7d171003
16:29:40.499 [XNIO-1 task-4]  8CgF0VZvTnC20hAC29gDMw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.499 [XNIO-1 task-4]  8CgF0VZvTnC20hAC29gDMw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.500 [XNIO-1 task-4]  8CgF0VZvTnC20hAC29gDMw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.501 [XNIO-1 task-4]  8CgF0VZvTnC20hAC29gDMw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:40.510 [XNIO-1 task-2]  sQHu0DYeQIGknE8QHaMG5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.510 [XNIO-1 task-2]  sQHu0DYeQIGknE8QHaMG5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.510 [XNIO-1 task-4]  8CgF0VZvTnC20hAC29gDMw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.514 [XNIO-1 task-2]  sQHu0DYeQIGknE8QHaMG5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.515 [XNIO-1 task-2]  sQHu0DYeQIGknE8QHaMG5g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = anHOqeJwTVi0tiesNLkAxg redirectUri = http://localhost:8080/authorization
16:29:40.518 [XNIO-1 task-4]  y9FMl6ekRLSsJKX6M1SwvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.518 [XNIO-1 task-4]  y9FMl6ekRLSsJKX6M1SwvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.519 [XNIO-1 task-4]  y9FMl6ekRLSsJKX6M1SwvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.519 [XNIO-1 task-4]  y9FMl6ekRLSsJKX6M1SwvQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:40.522 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:7d171003
16:29:40.528 [XNIO-1 task-2]  sQHu0DYeQIGknE8QHaMG5g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
16:29:40.528 [XNIO-1 task-2]  sQHu0DYeQIGknE8QHaMG5g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:40.528 [XNIO-1 task-2]  sQHu0DYeQIGknE8QHaMG5g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.531 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:8d9dfa25-1250-485d-a5f1-2332f5113489
16:29:40.547 [XNIO-1 task-2]  zl57xHRQTKKvfualzBtokg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.547 [XNIO-1 task-2]  zl57xHRQTKKvfualzBtokg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.548 [XNIO-1 task-2]  zl57xHRQTKKvfualzBtokg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.550 [XNIO-1 task-4]  mKVo8h0USCGrqg2ZfwqT8A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.550 [XNIO-1 task-4]  mKVo8h0USCGrqg2ZfwqT8A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.550 [XNIO-1 task-2]  zl57xHRQTKKvfualzBtokg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 8d9dfa25-1250-485d-a5f1-2332f5113489 scope = null
16:29:40.550 [XNIO-1 task-4]  mKVo8h0USCGrqg2ZfwqT8A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.575 [XNIO-1 task-4]  mKVo8h0USCGrqg2ZfwqT8A DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NTZkYjI1NDUtNTYwMy00ZDljLWI3ZDctYzljZDIxODI5MzMxOlJVNlcxWmdaVFJxb1dfcTFpT3l4RVE=", "Basic NTZkYjI1NDUtNTYwMy00ZDljLWI3ZDctYzljZDIxODI5MzMxOlJVNlcxWmdaVFJxb1dfcTFpT3l4RVE=", authorization)
16:29:40.578 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:f4d7d1cf-7944-42ed-afcf-78b464a81668
16:29:40.582 [XNIO-1 task-1]  kyK8bpD8TDeEl7kfU1bVAw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.582 [XNIO-1 task-1]  kyK8bpD8TDeEl7kfU1bVAw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:40.582 [XNIO-1 task-1]  kyK8bpD8TDeEl7kfU1bVAw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:40.583 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:8d9dfa25-1250-485d-a5f1-2332f5113489
