07:00:39.862 [XNIO-1 task-1]  IVjgpRcpS0uPIqi1rvEOyQ DEBUG com.networknt.schema.TypeValidator debug - validate( "b2d764de", "b2d764de", serviceId)
07:00:40.293 [XNIO-1 task-1]  t9mZYEtbRruayaP2Sm1W1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:40.294 [XNIO-1 task-1]  t9mZYEtbRruayaP2Sm1W1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/a94b50b1
07:00:40.308 [XNIO-1 task-1]  9SxRlvnQQkGhr5pJT9wU7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.308 [XNIO-1 task-1]  9SxRlvnQQkGhr5pJT9wU7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.308 [XNIO-1 task-1]  9SxRlvnQQkGhr5pJT9wU7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.329 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:b5587675
07:00:40.332 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:b5587675
07:00:40.345 [XNIO-1 task-1]  Bj-LFIpBSoiuFo4-gOiwFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.345 [XNIO-1 task-1]  Bj-LFIpBSoiuFo4-gOiwFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.345 [XNIO-1 task-1]  Bj-LFIpBSoiuFo4-gOiwFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.346 [XNIO-1 task-1]  Bj-LFIpBSoiuFo4-gOiwFA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
07:00:40.393 [XNIO-1 task-1]  o3QYIYJ1QfmeD2LGxXTwCw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.393 [XNIO-1 task-1]  o3QYIYJ1QfmeD2LGxXTwCw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.394 [XNIO-1 task-1]  o3QYIYJ1QfmeD2LGxXTwCw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.407 [XNIO-1 task-1]  yrdPowcGTY2RvQt3d9o31g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/723c5458
07:00:40.407 [XNIO-1 task-1]  yrdPowcGTY2RvQt3d9o31g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.408 [XNIO-1 task-1]  yrdPowcGTY2RvQt3d9o31g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:40.408 [XNIO-1 task-1]  yrdPowcGTY2RvQt3d9o31g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/723c5458
07:00:40.503 [XNIO-1 task-1]  RQ3vnOn-T7-wDXk7x-jSnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/150369aa, base path is set to: null
07:00:40.504 [XNIO-1 task-1]  RQ3vnOn-T7-wDXk7x-jSnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.504 [XNIO-1 task-1]  RQ3vnOn-T7-wDXk7x-jSnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
07:00:40.508 [XNIO-1 task-1]  RQ3vnOn-T7-wDXk7x-jSnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/150369aa, base path is set to: null
07:00:40.509 [XNIO-1 task-1]  RQ3vnOn-T7-wDXk7x-jSnw DEBUG com.networknt.schema.TypeValidator debug - validate( "150369aa", "150369aa", serviceId)
07:00:40.552 [XNIO-1 task-1]  ZQ59zxhMRYysDjl2_ztuWQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.552 [XNIO-1 task-1]  ZQ59zxhMRYysDjl2_ztuWQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.552 [XNIO-1 task-1]  ZQ59zxhMRYysDjl2_ztuWQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.553 [XNIO-1 task-1]  ZQ59zxhMRYysDjl2_ztuWQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
07:00:40.564 [XNIO-1 task-1]  Zy_IZihWSCS2IbCdJw0bIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.565 [XNIO-1 task-1]  Zy_IZihWSCS2IbCdJw0bIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.565 [XNIO-1 task-1]  Zy_IZihWSCS2IbCdJw0bIA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.584 [XNIO-1 task-1]  4-RVPw_BS7Kn1rGRw-vJvw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.585 [XNIO-1 task-1]  4-RVPw_BS7Kn1rGRw-vJvw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.585 [XNIO-1 task-1]  4-RVPw_BS7Kn1rGRw-vJvw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.649 [XNIO-1 task-1]  dkjj0V25S5Cu_D1vcHdaFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.649 [XNIO-1 task-1]  dkjj0V25S5Cu_D1vcHdaFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.650 [XNIO-1 task-1]  dkjj0V25S5Cu_D1vcHdaFA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.653 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:b5e24d0b
07:00:40.666 [XNIO-1 task-1]  rcl2ZKFoTfC_2rZWkdffng DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2d956442, base path is set to: null
07:00:40.667 [XNIO-1 task-1]  rcl2ZKFoTfC_2rZWkdffng DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.667 [XNIO-1 task-1]  rcl2ZKFoTfC_2rZWkdffng DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
07:00:40.668 [XNIO-1 task-1]  rcl2ZKFoTfC_2rZWkdffng DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2d956442, base path is set to: null
07:00:40.668 [XNIO-1 task-1]  rcl2ZKFoTfC_2rZWkdffng DEBUG com.networknt.schema.TypeValidator debug - validate( "2d956442", "2d956442", serviceId)
07:00:40.699 [XNIO-1 task-1]  aHjhC0zsQ5Kf_36yC5x0Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/b5e24d0b
07:00:40.699 [XNIO-1 task-1]  aHjhC0zsQ5Kf_36yC5x0Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.699 [XNIO-1 task-1]  aHjhC0zsQ5Kf_36yC5x0Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:40.699 [XNIO-1 task-1]  aHjhC0zsQ5Kf_36yC5x0Hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/b5e24d0b
07:00:40.703 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:b5e24d0b
07:00:40.730 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:ca819b1f-c010-4070-bbd3-4c1be3186fcb
07:00:40.732 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:ca819b1f-c010-4070-bbd3-4c1be3186fcb
07:00:40.736 [XNIO-1 task-1]  XCOiWwPpRLW8PVpqkBKEjA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.737 [XNIO-1 task-1]  XCOiWwPpRLW8PVpqkBKEjA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.737 [XNIO-1 task-1]  XCOiWwPpRLW8PVpqkBKEjA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.737 [XNIO-1 task-1]  XCOiWwPpRLW8PVpqkBKEjA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
07:00:40.755 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:b5587675
07:00:40.773 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.773 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.774 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.775 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:40.775 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
07:00:40.775 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "f19ae046-191c-4e4c-b2bc-87e00cb8d977", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
07:00:40.775 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "9bbaf2b9", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
07:00:40.775 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
07:00:40.776 [XNIO-1 task-1]  s8lgeTAoRQeGafzeLq5YeQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:40.791 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.792 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.792 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.793 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:40.793 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
07:00:40.793 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG com.networknt.schema.TypeValidator debug - validate( "f19ae046-191c-4e4c-b2bc-87e00cb8d977", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
07:00:40.794 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG com.networknt.schema.TypeValidator debug - validate( "9bbaf2b9", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
07:00:40.794 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
07:00:40.794 [XNIO-1 task-1]  zFXK9yQBSqSF61DCRl8TJQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9bbaf2b9","serviceName":"14dab29d-2e2b-41a8-a537-9da83896","serviceDesc":"f19ae046-191c-4e4c-b2bc-87e00cb8d977","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:40.828 [XNIO-1 task-1]  H1MxLqtXTgykHiXDrkv2hQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/9bbaf2b9
07:00:40.828 [XNIO-1 task-1]  H1MxLqtXTgykHiXDrkv2hQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.828 [XNIO-1 task-1]  H1MxLqtXTgykHiXDrkv2hQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:40.829 [XNIO-1 task-1]  H1MxLqtXTgykHiXDrkv2hQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/9bbaf2b9
07:00:40.836 [XNIO-1 task-1]  KqSAXNR4QrKn5owesxafkA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.836 [XNIO-1 task-1]  KqSAXNR4QrKn5owesxafkA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.836 [XNIO-1 task-1]  KqSAXNR4QrKn5owesxafkA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.837 [XNIO-1 task-1]  KqSAXNR4QrKn5owesxafkA DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
07:00:40.882 [XNIO-1 task-1]  7Y44vYVPRDK0P_WQqjn5VA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.882 [XNIO-1 task-1]  7Y44vYVPRDK0P_WQqjn5VA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.883 [XNIO-1 task-1]  7Y44vYVPRDK0P_WQqjn5VA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.905 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:a6337b48
07:00:40.906 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:b5587675
07:00:40.964 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:a6337b48
07:00:40.977 [XNIO-1 task-1]  j8ZWzo40QyiSrwjZVCgnUw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.977 [XNIO-1 task-1]  j8ZWzo40QyiSrwjZVCgnUw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.978 [XNIO-1 task-1]  j8ZWzo40QyiSrwjZVCgnUw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.978 [XNIO-1 task-1]  j8ZWzo40QyiSrwjZVCgnUw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a6337b48","serviceName":"49d788c7-6849-4c15-9f42-88b36757","serviceDesc":"8b6c7e42-c13e-4184-b17d-c48710c2e506","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a6337b48","serviceName":"49d788c7-6849-4c15-9f42-88b36757","serviceDesc":"8b6c7e42-c13e-4184-b17d-c48710c2e506","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
07:00:40.979 [XNIO-1 task-1]  j8ZWzo40QyiSrwjZVCgnUw DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a6337b48","serviceName":"49d788c7-6849-4c15-9f42-88b36757","serviceDesc":"8b6c7e42-c13e-4184-b17d-c48710c2e506","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
07:00:40.979 [XNIO-1 task-1]  j8ZWzo40QyiSrwjZVCgnUw DEBUG com.networknt.schema.TypeValidator debug - validate( "8b6c7e42-c13e-4184-b17d-c48710c2e506", {"serviceType":"swagger","serviceId":"a6337b48","serviceName":"49d788c7-6849-4c15-9f42-88b36757","serviceDesc":"8b6c7e42-c13e-4184-b17d-c48710c2e506","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
07:00:40.979 [XNIO-1 task-1]  j8ZWzo40QyiSrwjZVCgnUw DEBUG com.networknt.schema.TypeValidator debug - validate( "a6337b48", {"serviceType":"swagger","serviceId":"a6337b48","serviceName":"49d788c7-6849-4c15-9f42-88b36757","serviceDesc":"8b6c7e42-c13e-4184-b17d-c48710c2e506","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
