16:40:09.861 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:7134a462
16:40:09.929 [XNIO-1 task-1]  9QUiM-xRR9WX5BykG7DsSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.930 [XNIO-1 task-1]  9QUiM-xRR9WX5BykG7DsSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:09.930 [XNIO-1 task-1]  9QUiM-xRR9WX5BykG7DsSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.930 [XNIO-1 task-1]  9QUiM-xRR9WX5BykG7DsSQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:09.934 [XNIO-1 task-1]  YlV5nC74SQeySkiMXbhIjg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.934 [XNIO-1 task-1]  YlV5nC74SQeySkiMXbhIjg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:09.934 [XNIO-1 task-1]  YlV5nC74SQeySkiMXbhIjg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.941 [XNIO-1 task-1]  PhsvAnxrS5aLH4cw_DpI3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b59c5e26, base path is set to: null
16:40:09.941 [XNIO-1 task-1]  PhsvAnxrS5aLH4cw_DpI3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:09.942 [XNIO-1 task-1]  PhsvAnxrS5aLH4cw_DpI3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:09.942 [XNIO-1 task-1]  PhsvAnxrS5aLH4cw_DpI3Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b59c5e26, base path is set to: null
16:40:09.942 [XNIO-1 task-1]  PhsvAnxrS5aLH4cw_DpI3Q DEBUG com.networknt.schema.TypeValidator debug - validate( "b59c5e26", "b59c5e26", userId)
16:40:09.945 [XNIO-1 task-1]  ijI3t-Q4RRKygGHezi8fOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.946 [XNIO-1 task-1]  ijI3t-Q4RRKygGHezi8fOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.946 [XNIO-1 task-1]  ijI3t-Q4RRKygGHezi8fOg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.946 [XNIO-1 task-1]  ijI3t-Q4RRKygGHezi8fOg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:40:09.949 [XNIO-1 task-1]  guYtqOEyQB2gFPixGfcT7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.949 [XNIO-1 task-1]  guYtqOEyQB2gFPixGfcT7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.949 [XNIO-1 task-1]  guYtqOEyQB2gFPixGfcT7w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.966 [XNIO-1 task-1]  Y_rkB-9vRTaox_ytk3SVhw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.966 [XNIO-1 task-1]  Y_rkB-9vRTaox_ytk3SVhw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.966 [XNIO-1 task-1]  Y_rkB-9vRTaox_ytk3SVhw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.983 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f9af84a6
16:40:09.983 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.983 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:09.983 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
16:40:09.983 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f9af84a6
16:40:09.983 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"e857530f-c3bf-497c-a5b7-f5320f1e597e","newPassword":"33134148-46e7-474c-8e9c-7813c54dbd33","newPasswordConfirm":"33134148-46e7-474c-8e9c-7813c54dbd33"}, {"password":"e857530f-c3bf-497c-a5b7-f5320f1e597e","newPassword":"33134148-46e7-474c-8e9c-7813c54dbd33","newPasswordConfirm":"33134148-46e7-474c-8e9c-7813c54dbd33"}, requestBody)
16:40:09.984 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"e857530f-c3bf-497c-a5b7-f5320f1e597e","newPassword":"33134148-46e7-474c-8e9c-7813c54dbd33","newPasswordConfirm":"33134148-46e7-474c-8e9c-7813c54dbd33"}, {"password":"e857530f-c3bf-497c-a5b7-f5320f1e597e","newPassword":"33134148-46e7-474c-8e9c-7813c54dbd33","newPasswordConfirm":"33134148-46e7-474c-8e9c-7813c54dbd33"}, requestBody)
16:40:09.984 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG com.networknt.schema.FormatValidator debug - validate( "33134148-46e7-474c-8e9c-7813c54dbd33", {"password":"e857530f-c3bf-497c-a5b7-f5320f1e597e","newPassword":"33134148-46e7-474c-8e9c-7813c54dbd33","newPasswordConfirm":"33134148-46e7-474c-8e9c-7813c54dbd33"}, requestBody.newPasswordConfirm)
16:40:09.984 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG com.networknt.schema.FormatValidator debug - validate( "e857530f-c3bf-497c-a5b7-f5320f1e597e", {"password":"e857530f-c3bf-497c-a5b7-f5320f1e597e","newPassword":"33134148-46e7-474c-8e9c-7813c54dbd33","newPasswordConfirm":"33134148-46e7-474c-8e9c-7813c54dbd33"}, requestBody.password)
16:40:09.984 [XNIO-1 task-1]  Nru6Q0gHSgGdQucaUgFRrA DEBUG com.networknt.schema.FormatValidator debug - validate( "33134148-46e7-474c-8e9c-7813c54dbd33", {"password":"e857530f-c3bf-497c-a5b7-f5320f1e597e","newPassword":"33134148-46e7-474c-8e9c-7813c54dbd33","newPasswordConfirm":"33134148-46e7-474c-8e9c-7813c54dbd33"}, requestBody.newPassword)
16:40:10.005 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f9af84a6
16:40:10.005 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.005 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.005 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
16:40:10.006 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f9af84a6
16:40:10.006 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"33134148-46e7-474c-8e9c-7813c54dbd33","newPassword":"c4ee476e-19be-44fa-a9a8-94ee9943063d","newPasswordConfirm":"c4ee476e-19be-44fa-a9a8-94ee9943063d"}, {"password":"33134148-46e7-474c-8e9c-7813c54dbd33","newPassword":"c4ee476e-19be-44fa-a9a8-94ee9943063d","newPasswordConfirm":"c4ee476e-19be-44fa-a9a8-94ee9943063d"}, requestBody)
16:40:10.006 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"33134148-46e7-474c-8e9c-7813c54dbd33","newPassword":"c4ee476e-19be-44fa-a9a8-94ee9943063d","newPasswordConfirm":"c4ee476e-19be-44fa-a9a8-94ee9943063d"}, {"password":"33134148-46e7-474c-8e9c-7813c54dbd33","newPassword":"c4ee476e-19be-44fa-a9a8-94ee9943063d","newPasswordConfirm":"c4ee476e-19be-44fa-a9a8-94ee9943063d"}, requestBody)
16:40:10.006 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG com.networknt.schema.FormatValidator debug - validate( "c4ee476e-19be-44fa-a9a8-94ee9943063d", {"password":"33134148-46e7-474c-8e9c-7813c54dbd33","newPassword":"c4ee476e-19be-44fa-a9a8-94ee9943063d","newPasswordConfirm":"c4ee476e-19be-44fa-a9a8-94ee9943063d"}, requestBody.newPasswordConfirm)
16:40:10.006 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG com.networknt.schema.FormatValidator debug - validate( "33134148-46e7-474c-8e9c-7813c54dbd33", {"password":"33134148-46e7-474c-8e9c-7813c54dbd33","newPassword":"c4ee476e-19be-44fa-a9a8-94ee9943063d","newPasswordConfirm":"c4ee476e-19be-44fa-a9a8-94ee9943063d"}, requestBody.password)
16:40:10.006 [XNIO-1 task-1]  XgrJXdkyTgu9KCW03m2jqA DEBUG com.networknt.schema.FormatValidator debug - validate( "c4ee476e-19be-44fa-a9a8-94ee9943063d", {"password":"33134148-46e7-474c-8e9c-7813c54dbd33","newPassword":"c4ee476e-19be-44fa-a9a8-94ee9943063d","newPasswordConfirm":"c4ee476e-19be-44fa-a9a8-94ee9943063d"}, requestBody.newPassword)
16:40:10.022 [XNIO-1 task-1]  x5eZj5yuRHu2mpdYQ0Tx9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.022 [XNIO-1 task-1]  x5eZj5yuRHu2mpdYQ0Tx9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.023 [XNIO-1 task-1]  x5eZj5yuRHu2mpdYQ0Tx9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.031 [XNIO-1 task-1]  GWN8JdNZRFm-2_CZjG3G7A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.031 [XNIO-1 task-1]  GWN8JdNZRFm-2_CZjG3G7A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.031 [XNIO-1 task-1]  GWN8JdNZRFm-2_CZjG3G7A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.040 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:7134a462
16:40:10.047 [XNIO-1 task-1]  4G2RmCY1TZiShf27HQF11w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/5d54278f
16:40:10.047 [XNIO-1 task-1]  4G2RmCY1TZiShf27HQF11w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.047 [XNIO-1 task-1]  4G2RmCY1TZiShf27HQF11w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.047 [XNIO-1 task-1]  4G2RmCY1TZiShf27HQF11w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/5d54278f
16:40:10.055 [XNIO-1 task-1]  x-DBkeFUQRi5E1wBTaz2tA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.056 [XNIO-1 task-1]  x-DBkeFUQRi5E1wBTaz2tA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.056 [XNIO-1 task-1]  x-DBkeFUQRi5E1wBTaz2tA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.056 [XNIO-1 task-1]  x-DBkeFUQRi5E1wBTaz2tA DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:10.059 [XNIO-1 task-1]  T90fESVeTd2rvKojHT00Cg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b59c5e26, base path is set to: null
16:40:10.060 [XNIO-1 task-1]  T90fESVeTd2rvKojHT00Cg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.060 [XNIO-1 task-1]  T90fESVeTd2rvKojHT00Cg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:10.060 [XNIO-1 task-1]  T90fESVeTd2rvKojHT00Cg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b59c5e26, base path is set to: null
16:40:10.060 [XNIO-1 task-1]  T90fESVeTd2rvKojHT00Cg DEBUG com.networknt.schema.TypeValidator debug - validate( "b59c5e26", "b59c5e26", userId)
16:40:10.067 [XNIO-1 task-1]  hVXn8k42Q-WpV1suUsCt3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.067 [XNIO-1 task-1]  hVXn8k42Q-WpV1suUsCt3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.067 [XNIO-1 task-1]  hVXn8k42Q-WpV1suUsCt3g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.067 [XNIO-1 task-1]  hVXn8k42Q-WpV1suUsCt3g DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f13be79c
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f13be79c
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"7e4917a4-265e-4bf0-96c6-32c38303ed45","newPassword":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4","newPasswordConfirm":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4"}, {"password":"7e4917a4-265e-4bf0-96c6-32c38303ed45","newPassword":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4","newPasswordConfirm":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4"}, requestBody)
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"7e4917a4-265e-4bf0-96c6-32c38303ed45","newPassword":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4","newPasswordConfirm":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4"}, {"password":"7e4917a4-265e-4bf0-96c6-32c38303ed45","newPassword":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4","newPasswordConfirm":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4"}, requestBody)
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG com.networknt.schema.FormatValidator debug - validate( "b1bf4bb6-6afc-4bde-a9a9-6c036f852af4", {"password":"7e4917a4-265e-4bf0-96c6-32c38303ed45","newPassword":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4","newPasswordConfirm":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4"}, requestBody.newPasswordConfirm)
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG com.networknt.schema.FormatValidator debug - validate( "7e4917a4-265e-4bf0-96c6-32c38303ed45", {"password":"7e4917a4-265e-4bf0-96c6-32c38303ed45","newPassword":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4","newPasswordConfirm":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4"}, requestBody.password)
16:40:10.072 [XNIO-1 task-1]  rN9-L7SuTtqsqBspQPQTrg DEBUG com.networknt.schema.FormatValidator debug - validate( "b1bf4bb6-6afc-4bde-a9a9-6c036f852af4", {"password":"7e4917a4-265e-4bf0-96c6-32c38303ed45","newPassword":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4","newPasswordConfirm":"b1bf4bb6-6afc-4bde-a9a9-6c036f852af4"}, requestBody.newPassword)
16:40:10.076 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:7134a462
16:40:10.089 [XNIO-1 task-1]  dbzysN8RSQeFWxhSVMpVgA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/f9af84a6
16:40:10.089 [XNIO-1 task-1]  dbzysN8RSQeFWxhSVMpVgA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.089 [XNIO-1 task-1]  dbzysN8RSQeFWxhSVMpVgA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.089 [XNIO-1 task-1]  dbzysN8RSQeFWxhSVMpVgA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/f9af84a6
16:40:10.091 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:dc08d265-4659-463a-960c-559ea99c81ec
16:40:10.091 [XNIO-1 task-1]  wlI8BQmES-q-TdjRIhuQVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.092 [XNIO-1 task-1]  wlI8BQmES-q-TdjRIhuQVw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.092 [XNIO-1 task-1]  wlI8BQmES-q-TdjRIhuQVw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.092 [XNIO-1 task-1]  wlI8BQmES-q-TdjRIhuQVw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.102 [XNIO-1 task-1]  4Dpuu-61TJiXHkIjCgfbdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.102 [XNIO-1 task-1]  4Dpuu-61TJiXHkIjCgfbdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.102 [XNIO-1 task-1]  4Dpuu-61TJiXHkIjCgfbdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:10.102 [XNIO-1 task-1]  4Dpuu-61TJiXHkIjCgfbdQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:10.106 [XNIO-1 task-1]  sYO2czl0T3W5V1EObAYeLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/f9af84a6, base path is set to: null
16:40:10.106 [XNIO-1 task-1]  sYO2czl0T3W5V1EObAYeLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:10.106 [XNIO-1 task-1]  sYO2czl0T3W5V1EObAYeLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:10.106 [XNIO-1 task-1]  sYO2czl0T3W5V1EObAYeLQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/f9af84a6, base path is set to: null
16:40:10.106 [XNIO-1 task-1]  sYO2czl0T3W5V1EObAYeLQ DEBUG com.networknt.schema.TypeValidator debug - validate( "f9af84a6", "f9af84a6", userId)
16:40:10.116 [XNIO-1 task-1]  eGKYWZgrTX6oTWVVMXrq6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.116 [XNIO-1 task-1]  eGKYWZgrTX6oTWVVMXrq6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.116 [XNIO-1 task-1]  eGKYWZgrTX6oTWVVMXrq6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.128 [XNIO-1 task-1]  -tI9tz5uQuOyAeog1y2CuA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.128 [XNIO-1 task-1]  -tI9tz5uQuOyAeog1y2CuA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.128 [XNIO-1 task-1]  -tI9tz5uQuOyAeog1y2CuA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.138 [XNIO-1 task-1]  GWyGQnF6QWWhJH-pxI7m6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f13be79c
16:40:10.138 [XNIO-1 task-1]  GWyGQnF6QWWhJH-pxI7m6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:10.138 [XNIO-1 task-1]  GWyGQnF6QWWhJH-pxI7m6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:10.138 [XNIO-1 task-1]  GWyGQnF6QWWhJH-pxI7m6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
16:40:10.138 [XNIO-1 task-1]  GWyGQnF6QWWhJH-pxI7m6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/f13be79c
