20:00:39.952 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG com.zaxxer.hikari.pool.HikariPool checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@fe063ff
20:00:40.070 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.090 [HikariPool-1 connection adder]   DEBUG com.zaxxer.hikari.pool.HikariPool logPoolState - HikariPool-1 - After adding stats (total=2, active=0, idle=2, waiting=0)
20:00:40.139 [XNIO-1 task-2]  3drHney_SeCvtuSfJNYbsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.139 [XNIO-1 task-2]  3drHney_SeCvtuSfJNYbsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.139 [XNIO-1 task-2]  3drHney_SeCvtuSfJNYbsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.139 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:296bd494
20:00:40.140 [XNIO-1 task-2]  3drHney_SeCvtuSfJNYbsQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
20:00:40.173 [XNIO-1 task-2]  C0p2PvMiTOSJKbBoStewbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.174 [XNIO-1 task-2]  C0p2PvMiTOSJKbBoStewbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.174 [XNIO-1 task-2]  C0p2PvMiTOSJKbBoStewbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.175 [XNIO-1 task-2]  C0p2PvMiTOSJKbBoStewbw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
20:00:40.177 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:0f79d30e-af8c-488f-8ef2-ad68db78b5d9
20:00:40.227 [XNIO-1 task-2]  KSQ21lNqTFayZmGzsSEzDw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/449e0649
20:00:40.227 [XNIO-1 task-2]  KSQ21lNqTFayZmGzsSEzDw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.227 [XNIO-1 task-2]  KSQ21lNqTFayZmGzsSEzDw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:40.227 [XNIO-1 task-2]  KSQ21lNqTFayZmGzsSEzDw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/449e0649
20:00:40.267 [XNIO-1 task-2]  d5CV2k1BTrqDgwuhmgZW1Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/63bc52e6, base path is set to: null
20:00:40.267 [XNIO-1 task-2]  d5CV2k1BTrqDgwuhmgZW1Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.268 [XNIO-1 task-2]  d5CV2k1BTrqDgwuhmgZW1Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:40.268 [XNIO-1 task-2]  d5CV2k1BTrqDgwuhmgZW1Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/63bc52e6, base path is set to: null
20:00:40.268 [XNIO-1 task-2]  d5CV2k1BTrqDgwuhmgZW1Q DEBUG com.networknt.schema.TypeValidator debug - validate( "63bc52e6", "63bc52e6", serviceId)
20:00:40.319 [XNIO-1 task-2]  D5nr4wtDRw-fx22Kh7PFnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.319 [XNIO-1 task-2]  D5nr4wtDRw-fx22Kh7PFnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.320 [XNIO-1 task-2]  D5nr4wtDRw-fx22Kh7PFnQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.322 [XNIO-1 task-2]  D5nr4wtDRw-fx22Kh7PFnQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
20:00:40.385 [XNIO-1 task-2]  fPMJJmT8Q4eNpgY3FGDHfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/63bc52e6
20:00:40.385 [XNIO-1 task-2]  fPMJJmT8Q4eNpgY3FGDHfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.385 [XNIO-1 task-2]  fPMJJmT8Q4eNpgY3FGDHfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:40.385 [XNIO-1 task-2]  fPMJJmT8Q4eNpgY3FGDHfA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/63bc52e6
20:00:40.425 [XNIO-1 task-2]  gNAqn6D7SSmHUmtagnLVMg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.425 [XNIO-1 task-2]  gNAqn6D7SSmHUmtagnLVMg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.426 [XNIO-1 task-2]  gNAqn6D7SSmHUmtagnLVMg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.440 [XNIO-1 task-2]  RDvf47BwTKG0QACwi_6sEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/e7525cae, base path is set to: null
20:00:40.440 [XNIO-1 task-2]  RDvf47BwTKG0QACwi_6sEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.441 [XNIO-1 task-2]  RDvf47BwTKG0QACwi_6sEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:40.441 [XNIO-1 task-2]  RDvf47BwTKG0QACwi_6sEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/e7525cae, base path is set to: null
20:00:40.441 [XNIO-1 task-2]  RDvf47BwTKG0QACwi_6sEQ DEBUG com.networknt.schema.TypeValidator debug - validate( "e7525cae", "e7525cae", serviceId)
20:00:40.456 [XNIO-1 task-2]  h9IvyARIRjiPzfh-_o0rew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.456 [XNIO-1 task-2]  h9IvyARIRjiPzfh-_o0rew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.457 [XNIO-1 task-2]  h9IvyARIRjiPzfh-_o0rew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.494 [XNIO-1 task-2]  NkZh0cytT5aEnPNSegzCbg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.495 [XNIO-1 task-2]  NkZh0cytT5aEnPNSegzCbg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.495 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:785c3756-7daa-48e1-9c2e-b3f3aa8d476a
20:00:40.495 [XNIO-1 task-2]  NkZh0cytT5aEnPNSegzCbg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.510 [XNIO-1 task-2]  ohsBN9myQ5eHwK8vnKIJdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.510 [XNIO-1 task-2]  ohsBN9myQ5eHwK8vnKIJdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.511 [XNIO-1 task-2]  ohsBN9myQ5eHwK8vnKIJdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.511 [XNIO-1 task-2]  ohsBN9myQ5eHwK8vnKIJdQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
20:00:40.525 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.525 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.525 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.527 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.527 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.528 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:40.528 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
20:00:40.528 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG com.networknt.schema.TypeValidator debug - validate( "e5ce09ee-a13c-4357-b0bc-1198a160", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
20:00:40.528 [XNIO-1 task-2]  DYcDGbaHSzycuiKvjMR6ZQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.557 [XNIO-1 task-2]  xPa3eAP3Qvmh9X5vRHAnQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/feb3ea56, base path is set to: null
20:00:40.558 [XNIO-1 task-2]  xPa3eAP3Qvmh9X5vRHAnQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.558 [XNIO-1 task-2]  xPa3eAP3Qvmh9X5vRHAnQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:40.558 [XNIO-1 task-2]  xPa3eAP3Qvmh9X5vRHAnQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/feb3ea56, base path is set to: null
20:00:40.558 [XNIO-1 task-2]  xPa3eAP3Qvmh9X5vRHAnQQ DEBUG com.networknt.schema.TypeValidator debug - validate( "feb3ea56", "feb3ea56", serviceId)
20:00:40.616 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.616 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.616 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.617 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.617 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:40.617 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG com.networknt.schema.TypeValidator debug - validate( "f9e5948b-6ea9-4365-874e-80312c0341c1", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
20:00:40.618 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG com.networknt.schema.TypeValidator debug - validate( "fb30e5e7", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
20:00:40.618 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
20:00:40.618 [XNIO-1 task-2]  Ci2DIjxETc6yRaPY0F0UGw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.660 [XNIO-1 task-2]  8NWl7aKtR0easNFqUjGwPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.660 [XNIO-1 task-2]  8NWl7aKtR0easNFqUjGwPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.660 [XNIO-1 task-2]  8NWl7aKtR0easNFqUjGwPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.661 [XNIO-1 task-2]  8NWl7aKtR0easNFqUjGwPA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
20:00:40.765 [XNIO-1 task-2]  j9MhTCNVTX2wtIKt0TVdeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.766 [XNIO-1 task-2]  j9MhTCNVTX2wtIKt0TVdeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.766 [XNIO-1 task-2]  j9MhTCNVTX2wtIKt0TVdeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.772 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:e94a8965-50bc-4511-9bbf-2bd8e002550d
20:00:40.783 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.783 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.783 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.784 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.784 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.785 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:40.785 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
20:00:40.785 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG com.networknt.schema.TypeValidator debug - validate( "e5ce09ee-a13c-4357-b0bc-1198a160", {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
20:00:40.785 [XNIO-1 task-2]  LF9Pm5_HQdSPW9LODCfbRQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"fb30e5e7","serviceName":"e5ce09ee-a13c-4357-b0bc-1198a160","serviceDesc":"f9e5948b-6ea9-4365-874e-80312c0341c1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.795 [XNIO-1 task-2]  KDkuSSAbRS-uv7-QZdHA3w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.796 [XNIO-1 task-2]  KDkuSSAbRS-uv7-QZdHA3w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:40.798 [XNIO-1 task-2]  KDkuSSAbRS-uv7-QZdHA3w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:40.799 [XNIO-1 task-2]  KDkuSSAbRS-uv7-QZdHA3w DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"cadb4bac","serviceName":"74f95b9e-4e9c-487e-96f9-f4d7c815","serviceDesc":"26761511-499d-4d81-b2c2-5f1ad30d9063","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"cadb4bac","serviceName":"74f95b9e-4e9c-487e-96f9-f4d7c815","serviceDesc":"26761511-499d-4d81-b2c2-5f1ad30d9063","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.799 [XNIO-1 task-2]  KDkuSSAbRS-uv7-QZdHA3w DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"cadb4bac","serviceName":"74f95b9e-4e9c-487e-96f9-f4d7c815","serviceDesc":"26761511-499d-4d81-b2c2-5f1ad30d9063","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"cadb4bac","serviceName":"74f95b9e-4e9c-487e-96f9-f4d7c815","serviceDesc":"26761511-499d-4d81-b2c2-5f1ad30d9063","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.799 [XNIO-1 task-2]  KDkuSSAbRS-uv7-QZdHA3w DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"cadb4bac","serviceName":"74f95b9e-4e9c-487e-96f9-f4d7c815","serviceDesc":"26761511-499d-4d81-b2c2-5f1ad30d9063","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:40.799 [XNIO-1 task-2]  KDkuSSAbRS-uv7-QZdHA3w DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"cadb4bac","serviceName":"74f95b9e-4e9c-487e-96f9-f4d7c815","serviceDesc":"26761511-499d-4d81-b2c2-5f1ad30d9063","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
