09:00:41.004 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:815aa1f2
09:00:41.198 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.199 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.200 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.200 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.200 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.201 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.201 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.212 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.212 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.217 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=6RSXb4E3ThaEcoa9UGXCwQ
09:00:41.230 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.230 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.230 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.231 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG com.networknt.schema.TypeValidator debug - validate( "1f94c0c2-afb1-4077-bb42-1a4b090bc6f8", "1f94c0c2-afb1-4077-bb42-1a4b090bc6f8", client_id)
09:00:41.232 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.232 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.233 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.233 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.233 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.239 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:610b321c-691e-43e0-8d0a-385163311fac
09:00:41.243 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:610b321c-691e-43e0-8d0a-385163311fac
09:00:41.250 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@5ba44ccb for /oauth2/code
09:00:41.250 [XNIO-1 task-2]  JHZm0ho9RhyBV5ffYBF-CA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
09:00:41.261 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:610b321c-691e-43e0-8d0a-385163311fac
09:00:41.277 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.277 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.277 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.278 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.279 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.279 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.280 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.284 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.293 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.293 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.328 [XNIO-1 task-2]  7wdQaZGWQcivXv49-6Pc7g DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=8Ro7C9k5SDOm4XOM1UhnJw
09:00:41.332 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.332 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.332 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.333 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.333 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.334 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.334 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.334 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.340 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.341 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.345 [XNIO-1 task-2]  r5lBBrSRTiil-VcwL9comA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=kSAFf7eyS2mnDLjom3x5wQ
09:00:41.351 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.351 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.351 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.352 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.353 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.355 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.355 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.355 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.362 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.363 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.364 [XNIO-1 task-2]  w13W1FebQ6uT26Mw7L6SAQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=VUepwqYPQW2qmcyicrAa_w
09:00:41.368 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.368 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.368 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.369 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.370 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.370 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.370 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.370 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.379 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.379 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.380 [XNIO-1 task-2]  obSWhErNSY2stB6ss3fxUA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=tnUvwarnQci41h3Q4MAUOA
09:00:41.385 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.385 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.385 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.386 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.386 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.386 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.387 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.387 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.393 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.393 [XNIO-1 task-2]  Idtc6oUQTne_My3UCgFXRg DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.403 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:41.403 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:41.403 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:41.404 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG com.networknt.schema.TypeValidator debug - validate( "V5CLxv1MfLvWTj7wfI4kNWyzkGgTA_A8hC8d5DIBCdk", "V5CLxv1MfLvWTj7wfI4kNWyzkGgTA_A8hC8d5DIBCdk", code_challenge)
09:00:41.404 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
09:00:41.405 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
09:00:41.406 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
09:00:41.407 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
09:00:41.407 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
09:00:41.407 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
09:00:41.423 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.424 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.444 [XNIO-1 task-1]  8fqQSeS4TUCSAgbTUwwPBQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=1oj1DnhlQkiOpCEz5TW3CA
09:00:41.448 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.448 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.449 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.450 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG com.networknt.schema.TypeValidator debug - validate( "1f94c0c2-afb1-4077-bb42-1a4b090bc6f8", "1f94c0c2-afb1-4077-bb42-1a4b090bc6f8", client_id)
09:00:41.450 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.451 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.451 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.451 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.452 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.455 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:41.455 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:41.455 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:41.456 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG com.networknt.schema.TypeValidator debug - validate( "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", "fb7ac70c-8b7c-4c10-84d3-151e3e66a854", client_id)
09:00:41.456 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
09:00:41.457 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
09:00:41.457 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
09:00:41.457 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
09:00:41.457 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
09:00:41.462 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@5ba44ccb for /oauth2/code
09:00:41.462 [XNIO-1 task-1]  uoPDXaCtTbqBZKfP-H_H9g DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
09:00:41.468 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.468 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.470 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:41.470 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
09:00:41.470 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
09:00:41.470 [XNIO-1 task-2]  726qDvLYQWq8te1Gxt9i7Q DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=_jGqyyPRRuG4VDFSi512vw
09:00:41.472 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG com.networknt.schema.TypeValidator debug - validate( "1f94c0c2-afb1-4077-bb42-1a4b090bc6f8", "1f94c0c2-afb1-4077-bb42-1a4b090bc6f8", client_id)
09:00:41.472 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.472 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.473 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.473 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.473 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.481 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.481 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.530 [XNIO-1 task-1]  drrF0yfLSYCpgKKg-aX_Dw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=vo8e13BLQ7GcJA8lHCR82A
09:00:41.535 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.535 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.536 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
09:00:41.539 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG com.networknt.schema.TypeValidator debug - validate( "bfc60134-fb55-4945-9780-5f603a2668fb", "bfc60134-fb55-4945-9780-5f603a2668fb", client_id)
09:00:41.540 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
09:00:41.540 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
09:00:41.541 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
09:00:41.541 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@4633c5db for /oauth2/code
09:00:41.541 [XNIO-1 task-1]  JpEOrNi7RL6l4qOW3Br36Q DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
09:00:41.547 [XNIO-1 task-2]  WJ6X_O4IQjCUnEUeNtAVww DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
