16:40:50.940 [XNIO-1 task-2]  w36eAxhJTze5C9rp4bvKvA DEBUG com.networknt.schema.TypeValidator debug - validate( "e65c6856", "e65c6856", serviceId)
16:40:50.955 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG com.networknt.schema.TypeValidator debug - validate( "58e9a88c", {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:40:50.955 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:40:50.955 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:50.960 [XNIO-1 task-2]  ALTIymQVRbe_2_1eOQ6IuA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/25fd70db
16:40:50.960 [XNIO-1 task-2]  ALTIymQVRbe_2_1eOQ6IuA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.960 [XNIO-1 task-2]  ALTIymQVRbe_2_1eOQ6IuA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:40:50.960 [XNIO-1 task-2]  ALTIymQVRbe_2_1eOQ6IuA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/25fd70db
16:40:50.967 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:50.967 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:50.967 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:50.967 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:50.967 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:50.967 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:50.967 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:40:50.968 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG com.networknt.schema.TypeValidator debug - validate( "c45feca2-1601-4105-bb60-d4368912", {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:40:50.968 [XNIO-1 task-2]  fgxt5CO9Tvi5XXZzSXNBiQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:50.975 [XNIO-1 task-2]  3l8DLnRnSxGJEyWucHVIjA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/58e9a88c, base path is set to: null
16:40:50.976 [XNIO-1 task-2]  3l8DLnRnSxGJEyWucHVIjA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:50.976 [XNIO-1 task-2]  3l8DLnRnSxGJEyWucHVIjA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:50.976 [XNIO-1 task-2]  3l8DLnRnSxGJEyWucHVIjA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/58e9a88c, base path is set to: null
16:40:50.976 [XNIO-1 task-2]  3l8DLnRnSxGJEyWucHVIjA DEBUG com.networknt.schema.TypeValidator debug - validate( "58e9a88c", "58e9a88c", serviceId)
16:40:50.981 [XNIO-1 task-2]  WtpP-_jfQcOe3WhXKIaETw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.981 [XNIO-1 task-2]  WtpP-_jfQcOe3WhXKIaETw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.981 [XNIO-1 task-2]  WtpP-_jfQcOe3WhXKIaETw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.981 [XNIO-1 task-2]  WtpP-_jfQcOe3WhXKIaETw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:40:50.985 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:30d38d6f-c294-4f44-994e-2e1b168666c9
16:40:50.985 [XNIO-1 task-2]  cK1UfU2_TkK0Eqtnkfycqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:50.985 [XNIO-1 task-2]  cK1UfU2_TkK0Eqtnkfycqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:50.986 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:30d38d6f-c294-4f44-994e-2e1b168666c9
16:40:50.992 [XNIO-1 task-2]  744GOhouSC-j7DtO9HE-ig DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/77933330, base path is set to: null
16:40:50.992 [XNIO-1 task-2]  744GOhouSC-j7DtO9HE-ig DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:50.992 [XNIO-1 task-2]  744GOhouSC-j7DtO9HE-ig DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:50.992 [XNIO-1 task-2]  744GOhouSC-j7DtO9HE-ig DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/77933330, base path is set to: null
16:40:50.992 [XNIO-1 task-2]  744GOhouSC-j7DtO9HE-ig DEBUG com.networknt.schema.TypeValidator debug - validate( "77933330", "77933330", serviceId)
16:40:50.998 [XNIO-1 task-2]  7E8D9WEgTDyiss__Ot72AA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.998 [XNIO-1 task-2]  7E8D9WEgTDyiss__Ot72AA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.998 [XNIO-1 task-2]  7E8D9WEgTDyiss__Ot72AA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.999 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:c6c877d5
16:40:51.003 [XNIO-1 task-2]  Vry_jRInQ46RWYxrhMFS5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/c6c877d5, base path is set to: null
16:40:51.004 [XNIO-1 task-2]  Vry_jRInQ46RWYxrhMFS5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.004 [XNIO-1 task-2]  Vry_jRInQ46RWYxrhMFS5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:40:51.004 [XNIO-1 task-2]  Vry_jRInQ46RWYxrhMFS5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/c6c877d5, base path is set to: null
16:40:51.004 [XNIO-1 task-2]  Vry_jRInQ46RWYxrhMFS5Q DEBUG com.networknt.schema.TypeValidator debug - validate( "c6c877d5", "c6c877d5", serviceId)
16:40:51.005 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:c6c877d5
16:40:51.009 [XNIO-1 task-2]  kGdWVKXLRXeuOXT74-JKZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.009 [XNIO-1 task-2]  kGdWVKXLRXeuOXT74-JKZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.009 [XNIO-1 task-2]  kGdWVKXLRXeuOXT74-JKZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG com.networknt.schema.TypeValidator debug - validate( "b4a90ce7-9144-4c24-8b8f-3f119ffaee61", {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG com.networknt.schema.TypeValidator debug - validate( "21332c63", {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:40:51.016 [XNIO-1 task-2]  MMus9PKxSw2IADuGCkDo0g DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"21332c63","serviceName":"9061034e-33f8-4bda-8b42-c476bca1","serviceDesc":"b4a90ce7-9144-4c24-8b8f-3f119ffaee61","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.023 [XNIO-1 task-2]  7ajj2AAgQ26lIgrM_wHNAw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.023 [XNIO-1 task-2]  7ajj2AAgQ26lIgrM_wHNAw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.023 [XNIO-1 task-2]  7ajj2AAgQ26lIgrM_wHNAw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.030 [XNIO-1 task-2]  MV-G_qGJSJC3uQs1kwl0RA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/21332c63
16:40:51.030 [XNIO-1 task-2]  MV-G_qGJSJC3uQs1kwl0RA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:51.030 [XNIO-1 task-2]  MV-G_qGJSJC3uQs1kwl0RA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:40:51.030 [XNIO-1 task-2]  MV-G_qGJSJC3uQs1kwl0RA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/21332c63
16:40:51.064 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG com.networknt.schema.TypeValidator debug - validate( "e2f6f8f2-1c7e-4401-8cc3-a727626a", {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:40:51.065 [XNIO-1 task-2]  JgFoA58mRMKT_A6d6VJ72w DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"9a2eafb8","serviceName":"e2f6f8f2-1c7e-4401-8cc3-a727626a","serviceDesc":"97b1e622-ba9b-41dd-b6b7-e55b58581225","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.074 [XNIO-1 task-2]  inMdRx_XQwqqTToFnGvzVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.074 [XNIO-1 task-2]  inMdRx_XQwqqTToFnGvzVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.074 [XNIO-1 task-2]  inMdRx_XQwqqTToFnGvzVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.074 [XNIO-1 task-2]  inMdRx_XQwqqTToFnGvzVw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:51.081 [XNIO-1 task-2]  n4pVnS7jRyOtU42YmzhBPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.081 [XNIO-1 task-2]  n4pVnS7jRyOtU42YmzhBPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.081 [XNIO-1 task-2]  n4pVnS7jRyOtU42YmzhBPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.091 [XNIO-1 task-2]  cRP6h4pRSo6HyUIJhiO-5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.091 [XNIO-1 task-2]  cRP6h4pRSo6HyUIJhiO-5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.091 [XNIO-1 task-2]  cRP6h4pRSo6HyUIJhiO-5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.099 [XNIO-1 task-2]  78k-0mpdRsqK-e5tl483ng DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.099 [XNIO-1 task-2]  78k-0mpdRsqK-e5tl483ng DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.099 [XNIO-1 task-2]  78k-0mpdRsqK-e5tl483ng DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.099 [XNIO-1 task-2]  78k-0mpdRsqK-e5tl483ng DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:51.107 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.107 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:40:51.107 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:40:51.107 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"f04b2ac7","serviceName":"63b55e31-6f0f-46f6-829f-798c7dc6","serviceDesc":"e9b0f37a-b23b-4092-912b-4f65c65b00cf","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"f04b2ac7","serviceName":"63b55e31-6f0f-46f6-829f-798c7dc6","serviceDesc":"e9b0f37a-b23b-4092-912b-4f65c65b00cf","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.108 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"f04b2ac7","serviceName":"63b55e31-6f0f-46f6-829f-798c7dc6","serviceDesc":"e9b0f37a-b23b-4092-912b-4f65c65b00cf","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"f04b2ac7","serviceName":"63b55e31-6f0f-46f6-829f-798c7dc6","serviceDesc":"e9b0f37a-b23b-4092-912b-4f65c65b00cf","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:51.108 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"f04b2ac7","serviceName":"63b55e31-6f0f-46f6-829f-798c7dc6","serviceDesc":"e9b0f37a-b23b-4092-912b-4f65c65b00cf","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:51.108 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"f04b2ac7","serviceName":"63b55e31-6f0f-46f6-829f-798c7dc6","serviceDesc":"e9b0f37a-b23b-4092-912b-4f65c65b00cf","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:40:51.108 [XNIO-1 task-2]  usV8C-bYSSC1hYo1B1kidg DEBUG com.networknt.schema.TypeValidator debug - validate( "63b55e31-6f0f-46f6-829f-798c7dc6", {"serviceType":"swagger","serviceId":"f04b2ac7","serviceName":"63b55e31-6f0f-46f6-829f-798c7dc6","serviceDesc":"e9b0f37a-b23b-4092-912b-4f65c65b00cf","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
